"","TownName","ratio","year"
"278",NA,0,2010
"279","north reading",0,2010
"280",NA,0,2010
"281","stoughton",0,2010
"282",NA,0,2010
"283",NA,0,2010
"284","sunderland",0,2010
"285","swampscott",0,2010
"286",NA,0,2010
"287",NA,0,2010
"288",NA,0,2010
"289",NA,0,2010
"290","middleton",0,2010
"291","milford",0,2010
"292","millis",0,2010
"293",NA,0,2010
"294","peabody",0,2010
"295",NA,0,2010
"296",NA,0,2010
"297","sharon",0,2010
"298","southwick",0,2010
"299",NA,0,2010
"300",NA,0,2010
"301",NA,0,2010
"302","whately",0,2010
"303","williamstown",0,2010
"304","rockport",0,2010
"305",NA,0,2010
"306",NA,0,2010
"307","worcester",0,2010
"308",NA,0,2010
"309",NA,0,2010
"310","tyngsborough",0,2010
"311",NA,0,2010
"312","wakefield",0,2010
"313",NA,0,2010
"314","westfield",0,2010
"315",NA,0,2010
"316",NA,0,2010
"317",NA,0,2010
"318","saugus",0,2010
"319",NA,0,2010
"320","weston",0,2010
"321","westwood",0,2010
"322",NA,0,2010
"323",NA,0,2010
"324",NA,0,2010
"325",NA,0,2010
"326","south hadley",0,2010
"327","southampton",0,2010
"328","southborough",0,2010
"329",NA,0,2010
"330",NA,0,2010
"331",NA,0,2010
"332","walpole",0,2010
"333","waltham",0,2010
"334",NA,0,2010
"335","watertown",0,2010
"336","wayland",0,2010
"337",NA,0,2010
"338","wellesley",0,2010
"339",NA,0,2010
"340","topsfield",0,2010
"341",NA,0,2010
"342",NA,0,2010
"343",NA,0,2010
"344",NA,0,2010
"345","salem",0,2010
"346",NA,0,2010
"347",NA,0,2010
"348","wilmington",0,2010
"349",NA,0,2010
"350",NA,0,2010
"351",NA,0,2010
"352",NA,0,2011
"353","plainville",0,2011
"354",NA,0,2011
"355",NA,0,2011
"356","scituate",0,2011
"357",NA,0,2011
"358",NA,0,2011
"359",NA,0,2011
"360",NA,0,2011
"361","northborough",0,2011
"362",NA,0,2011
"363",NA,0,2011
"364","wareham",0,2011
"365",NA,0,2011
"366",NA,0,2011
"367",NA,0,2011
"368",NA,0,2011
"369","westford",0,2011
"370","whitman",0,2011
"371",NA,0,2011
"372","yarmouth",0,2011
"373",NA,0,2011
"374","winchester",0,2011
"375",NA,0,2011
"376",NA,0,2011
"377",NA,0,2011
"378",NA,0,2011
"379","adams",0,2011
"380",NA,0,2011
"381","amherst",0,2011
"382",NA,0,2011
"383",NA,0,2011
"384",NA,0,2011
"385",NA,0,2011
"386",NA,0,2011
"387","belchertown",0,2011
"388",NA,0,2011
"389",NA,0,2011
"390",NA,0,2011
"391",NA,0,2011
"392",NA,0,2011
"393",NA,0,2011
"394","brockton",0,2011
"395",NA,0,2011
"396",NA,0,2011
"397",NA,0,2011
"398",NA,0,2011
"399",NA,0,2011
"400",NA,0,2011
"401",NA,0,2011
"402",NA,0,2011
"403",NA,0,2011
"404","acton",0,2011
"405","attleboro",0,2011
"406",NA,0,2011
"407","blackstone",0,2011
"408","boston",0,2011
"409",NA,0,2011
"410",NA,0,2011
"411",NA,0,2011
"412","duxbury",0,2011
"413","eastham",0,2011
"414","essex",0,2011
"415",NA,0,2011
"416",NA,0,2011
"417",NA,0,2011
"418",NA,0,2011
"419","great barrington",0,2011
"420",NA,0,2011
"421",NA,0,2011
"422",NA,0,2011
"423","leverett",0,2011
"424","mansfield",0,2011
"425","mashpee",0,2011
"426",NA,0,2011
"427",NA,0,2011
"428",NA,0,2011
"429","grafton",0,2011
"430",NA,0,2011
"431",NA,0,2011
"432","gloucester",0,2011
"433",NA,0,2011
"434",NA,0,2011
"435","marion",0,2011
"436","mendon",0,2011
"437",NA,0,2011
"438","townsend",0,2011
"439",NA,0,2011
"440",NA,0,2011
"441",NA,0,2011
"442","orleans",0,2011
"443","dedham",0,2011
"444",NA,0,2011
"445",NA,0,2011
"446","deerfield",0,2011
"447",NA,0,2011
"448",NA,0,2011
"449","brookline",0,2011
"450","hadley",0,2011
"451","bridgewater",0,2011
"452","brimfield",0,2011
"453",NA,0,2011
"454",NA,0,2011
"455",NA,0,2011
"456",NA,0,2011
"457","easton",0,2011
"458",NA,0,2011
