"","X","Year","Name.x","Event","Type","County","Form.of.government","Population","FormYear","T21Date","FIPS","State","No_PrematureDeaths","Years.of.Potential.Life.Lost.Rate","Percent_FairOrPoor","Physically.Unhealthy.Days","Mentally.Unhealthy.Days","Precent.LBW","PercentSmokers","PercentObese","Food.Environment.Index","Percent.Physically.Inactive","Percent.With.AccessToExercise","PercentExcessive.Drinking","NumberChlamydia.Cases","Chlamydia.Rate","Teen.Births","Teen.Birth.Rate","PercentUninsured","NumberMedicare.Enrollees","PercentDiabetics","PercentReceiving.HbA1c","PercentUnemployed","PercentChildren.in.Poverty","PercentSingle.Parent.Households","NumberViolent.Crimes","Violent.Crime.Rate","T21year","MAYOR","LENGTH.OF.TERM","NEXT.ELECTION","mayor_ind","year_dummy","year_dummy-1","county_state_abb","Name.y","state_abb","pop16","pop16_labor_civil_empl","pop16_labor_civil_unempl","pop16_labor_civil","median_household_income","mean_household_income","pop_total_2015","male_2015","female_2015","white_male_2015","white_female_2015","black_male_2015","black_female_2015","hispanic_male_2015","hispanic_female_2015","educ_no_high_school_2000","votes_total_2012","votes_r_2012","votes_d_2012","prct_d_2012","prct_r_2012","votes_total_2016","prct_d_2016","prct_r_2016","votes_d_2016","votes_r_2016","tax"
"2",7,2011,"Abington",0,"Town","Plymouth","Open town meeting","15985.0",1712,NA,25023,"Massachusetts",4693,5872.2,10.6,3.1,3.6,7.76,20.9,22.1,NA,NA,NA,20.7,NA,NA,2194,18.9,8.3,100457,1769,86.32,8.8,8.3,24.1,6299,427.6,NA,NA,NA,NA,0,2011,2010,"Plymouth, MA","plymouth","MA",399566,248411,24013,272424,75816,96541,510393,248480,261913,213559,225147,25675,26697,9822,9461,12.4,256531,121086,131845,51.4,47.2,271177,49.9721584057645,42.5437998060307,135513,115369,2.51
"3",8,2012,"Abington",0,"Town","Plymouth","Open town meeting","15985.0",1712,NA,25023,"Massachusetts",4692,5675.99,10.2,3,3.6,7.8,19.9,23.1,NA,21,NA,21.1,1160,235.7,2213,19.5,4.4,53185,5117,86.456908345,9.1,10.9,24.728756039,6280,434.73023881,NA,NA,NA,NA,0,2012,2011,"Plymouth, MA","plymouth","MA",399566,248411,24013,272424,75816,96541,510393,248480,261913,213559,225147,25675,26697,9822,9461,12.4,256531,121086,131845,51.4,47.2,271177,49.9721584057645,42.5437998060307,135513,115369,2.51
"4",9,2013,"Abington",0,"Town","Plymouth","Open town meeting","15985.0",1712,NA,25023,"Massachusetts",4854,5721.45,11,3.2,3.8,7.7,19.1,23.1,NA,21,NA,20.8,1414,285.7,2102,17.698071904,4.7,54940,5350,88.448598131,7.8,10.8,24.961102093,2179,443.299018,NA,NA,NA,NA,0,2013,2012,"Plymouth, MA","plymouth","MA",399566,248411,24013,272424,75816,96541,510393,248480,261913,213559,225147,25675,26697,9822,9461,12.4,256531,121086,131845,51.4,47.2,271177,49.9721584057645,42.5437998060307,135513,115369,2.51
"5",10,2014,"Abington",0,"Town","Plymouth","Open town meeting","15985.0",1712,NA,25023,"Massachusetts",4854,5721.45,11,3.1,3.6,7.7,17.8,24.7,8.7645680153,23.1,80.249697425,21.1,1398,281,2017,16.970257877,4.2883817477,58071,5871,88.62204054,6.9141127507,10.7,25.479554282,2161.3333333,447.83954028,NA,NA,NA,NA,0,2014,2013,"Plymouth, MA","plymouth","MA",399566,248411,24013,272424,75816,96541,510393,248480,261913,213559,225147,25675,26697,9822,9461,12.4,256531,121086,131845,51.4,47.2,271177,49.9721584057645,42.5437998060307,135513,115369,3.51
"6",11,2015,"Abington",0,"Town","Plymouth","Open town meeting","15985.0",1712,NA,25023,"Massachusetts",4881,5465.93,11,3.1,3.6,7.4893572292,17.8,25.8,8.6,23.9,87.434307432,21.1,1502,300.5,1935,16.304485208,3.8936488901,61488,6281,89.87422385,7.1697401667,11.2,25.177076626,2023.6666667,431.83009609,NA,NA,NA,NA,0,2015,2014,"Plymouth, MA","plymouth","MA",399566,248411,24013,272424,75816,96541,510393,248480,261913,213559,225147,25675,26697,9822,9461,12.4,256531,121086,131845,51.4,47.2,271177,49.9721584057645,42.5437998060307,135513,115369,3.51
"7",12,2016,"Abington",0,"Town","Plymouth","Open town meeting","15985.0",1712,NA,25023,"Massachusetts",4926,5551.6,13.3,3.3,4.2,7.3034462381,17.2,26.4,8.3,24.7,85.824549068,20.5,1490,298.14370527,1794,15.186401652,4.0607678789,64212,6734,90.406890407,6.0337647721,11.5,26.407406765,2023.6666667,431.83009609,NA,NA,NA,NA,0,2016,2015,"Plymouth, MA","plymouth","MA",399566,248411,24013,272424,75816,96541,510393,248480,261913,213559,225147,25675,26697,9822,9461,12.4,256531,121086,131845,51.4,47.2,271177,49.9721584057645,42.5437998060307,135513,115369,3.51
"8",13,2017,"Abington",0,"Town","Plymouth","Open town meeting","15985.0",1712,NA,25023,"Massachusetts",5179,5736.3,12.932690816,3.2979653377,4.157563458,7.2241992883,16.179049691,27.8,8.3,22.9,85.824549068,22.659203492,1176,234.3,1613,13.689097097,3.3779891904,66023,6928,91.021939954,5.2292076211,12.4,27.678274419,1854.3333333,404.35479135,NA,NA,NA,NA,0,2017,2016,"Plymouth, MA","plymouth","MA",399566,248411,24013,272424,75816,96541,510393,248480,261913,213559,225147,25675,26697,9822,9461,12.4,256531,121086,131845,51.4,47.2,271177,49.9721584057645,42.5437998060307,135513,115369,3.51
"10",21,2011,"Acton",0,"Town","Middlesex","Open town meeting","21924.0",1735,"2015-01-01",25017,"Massachusetts",11206,4524.4,9.7,2.8,2.8,7.32,13.4,22.1,NA,NA,NA,18,NA,NA,4133,12.6,9.9,264855,4000,87.15,7.1,8.3,20.8,11031,249.1,2015,NA,NA,NA,0,2011,2010,"Middlesex, MA","middlesex","MA",1256349,817053,59845,876898,83488,112455,1585139,773776,811363,620894,651994,43583,45018,62002,60987,11.5,754170,267321,471804,62.56,35.45,796735,65.311552774762,27.5867132735477,520360,219793,2.51
"11",22,2012,"Acton",0,"Town","Middlesex","Open town meeting","21924.0",1735,"2015-01-01",25017,"Massachusetts",10885,4320.15,9.5,2.7,2.7,7.4,12.5,23.1,NA,21.1,NA,17.6,2562,172.8,4157,13,4.6,133633,10819,87.170718181,7,8.5,21.023875057,11724,263.87623475,2015,NA,NA,NA,0,2012,2011,"Middlesex, MA","middlesex","MA",1256349,817053,59845,876898,83488,112455,1585139,773776,811363,620894,651994,43583,45018,62002,60987,11.5,754170,267321,471804,62.56,35.45,796735,65.311552774762,27.5867132735477,520360,219793,2.51
"12",23,2013,"Acton",0,"Town","Middlesex","Open town meeting","21924.0",1735,"2015-01-01",25017,"Massachusetts",10899,4330.73,9.2,2.7,2.6,7.5,12.1,23.1,NA,21.1,NA,18,2778,184.8,4086,12.180943352,4.5,135688,11042,89.14145988,5.9,9.3,20.926310082,4242,284.102451,2015,NA,NA,NA,0,2013,2012,"Middlesex, MA","middlesex","MA",1256349,817053,59845,876898,83488,112455,1585139,773776,811363,620894,651994,43583,45018,62002,60987,11.5,754170,267321,471804,62.56,35.45,796735,65.311552774762,27.5867132735477,520360,219793,2.51
"13",24,2014,"Acton",0,"Town","Middlesex","Open town meeting","21924.0",1735,"2015-01-01",25017,"Massachusetts",10899,4330.73,8.9,2.7,2.7,7.5,11.4,23.3,9.1148955101,21.8,94.834556928,18.1,3396,223.7,3969,11.754914911,4.4632197847,142890,11733,89.59345436,5.3173677242,9.5,20.724166347,4122.6666667,277.72457169,2015,NA,NA,NA,0,2014,2013,"Middlesex, MA","middlesex","MA",1256349,817053,59845,876898,83488,112455,1585139,773776,811363,620894,651994,43583,45018,62002,60987,11.5,754170,267321,471804,62.56,35.45,796735,65.311552774762,27.5867132735477,520360,219793,3.51
"14",25,2015,"Acton",1,"Town","Middlesex","Open town meeting","21924.0",1735,"2015-01-01",25017,"Massachusetts",11119,4156.69,8.9,2.7,2.7,7.4975633918,11.4,23.1,8.9,20.8,96.407721453,18.1,3634,236.4,3825,11.243088807,4.0404229175,147540,12117,89.06495007,5.6376917719,10.6,21.029600706,3797.3333333,257.33734459,2015,NA,NA,NA,0,2015,2014,"Middlesex, MA","middlesex","MA",1256349,817053,59845,876898,83488,112455,1585139,773776,811363,620894,651994,43583,45018,62002,60987,11.5,754170,267321,471804,62.56,35.45,796735,65.311552774762,27.5867132735477,520360,219793,3.51
"15",26,2016,"Acton",2,"Town","Middlesex","Open town meeting","21924.0",1735,"2015-01-01",25017,"Massachusetts",11297,4107.7,11.4,3,3.4,7.512710677,12.2,22.6,8.7,21.3,96.575642761,20.3,3669,238.67838916,3542,10.355059859,3.9803209994,151812,12704,89.829974811,4.6490301066,9.6,21.023948082,3797.3333333,257.33734459,2015,NA,NA,NA,0,2016,2015,"Middlesex, MA","middlesex","MA",1256349,817053,59845,876898,83488,112455,1585139,773776,811363,620894,651994,43583,45018,62002,60987,11.5,754170,267321,471804,62.56,35.45,796735,65.311552774762,27.5867132735477,520360,219793,3.51
"16",27,2017,"Acton",2,"Town","Middlesex","Open town meeting","21924.0",1735,"2015-01-01",25017,"Massachusetts",11403,4120.7,10.851879904,2.7181453215,3.4476376243,7.4287095215,11.843819748,22.6,8.8,19.8,96.575642761,19.020107134,3714,239.2,3216,9.3492177007,3.1822290785,154845,12976,91.199136868,4.0494548609,8.2,20.658011904,3164,206.55078468,2015,NA,NA,NA,0,2017,2016,"Middlesex, MA","middlesex","MA",1256349,817053,59845,876898,83488,112455,1585139,773776,811363,620894,651994,43583,45018,62002,60987,11.5,754170,267321,471804,62.56,35.45,796735,65.311552774762,27.5867132735477,520360,219793,3.51
"18",35,2011,"Acushnet",0,"Town","Bristol","Open town meeting","10303.0",1860,NA,25005,"Massachusetts",5405,6481.3,15.5,3.8,4,8.08,22.1,27.5,NA,NA,NA,19.5,NA,NA,3673,29,8.8,122807,2577,88.5914,11.1,15.3,32.8,9997,612.7,NA,NA,NA,NA,0,2011,2010,"Bristol, MA","bristol","MA",446780,265468,29487,294955,55957,73844,556772,269973,286799,242332,258664,13746,13501,20282,19950,26.8,241509,93752,142962,59.2,38.82,252140,51.3762195605616,41.8192274133418,129540,105443,2.51
"19",36,2012,"Acushnet",0,"Town","Bristol","Open town meeting","10303.0",1860,NA,25005,"Massachusetts",5443,6471.64,15.3,3.7,3.9,8.1,21.5,29,NA,28.8,NA,19.7,1264,231.6,3617,29.2,5.6,61242,6916,88.577212261,11.2,16.6,34.561816666,9988,608.6187681,NA,NA,NA,NA,0,2012,2011,"Bristol, MA","bristol","MA",446780,265468,29487,294955,55957,73844,556772,269973,286799,242332,258664,13746,13501,20282,19950,26.8,241509,93752,142962,59.2,38.82,252140,51.3762195605616,41.8192274133418,129540,105443,2.51
"20",37,2013,"Acushnet",0,"Town","Bristol","Open town meeting","10303.0",1860,NA,25005,"Massachusetts",5471,6180.27,15.4,3.7,3.8,8.3,20.8,29,NA,28.8,NA,19.8,1284,234.2,3510,26.305928202,5.5,62320,7359,89.917108303,10,16.3,33.774259825,3316,603.3531884,NA,NA,NA,NA,0,2013,2012,"Bristol, MA","bristol","MA",446780,265468,29487,294955,55957,73844,556772,269973,286799,242332,258664,13746,13501,20282,19950,26.8,241509,93752,142962,59.2,38.82,252140,51.3762195605616,41.8192274133418,129540,105443,2.51
"21",38,2014,"Acushnet",0,"Town","Bristol","Open town meeting","10303.0",1860,NA,25005,"Massachusetts",5471,6180.27,15.2,3.7,3.8,8.2,20.3,29.1,8.2896359783,28.3,80.901903207,20.4,1415,257.8,3348,25.12419517,5.1917058244,63385,7815,90.6078055,9.3345083513,17.6,34.747110066,3247.6666667,589.13982441,NA,NA,NA,NA,0,2014,2013,"Bristol, MA","bristol","MA",446780,265468,29487,294955,55957,73844,556772,269973,286799,242332,258664,13746,13501,20282,19950,26.8,241509,93752,142962,59.2,38.82,252140,51.3762195605616,41.8192274133418,129540,105443,3.51
"22",39,2015,"Acushnet",0,"Town","Bristol","Open town meeting","10303.0",1860,NA,25005,"Massachusetts",5630,6029.99,15.2,3.7,3.8,8.1907663464,20.3,28.6,8,26.4,95.487383386,20.4,1628,295.4,3213,24.234058922,5.0705845309,65614,8175,90.311926606,9.7096201195,19.2,34.224549489,3063.3333333,555.71748025,NA,NA,NA,NA,0,2015,2014,"Bristol, MA","bristol","MA",446780,265468,29487,294955,55957,73844,556772,269973,286799,242332,258664,13746,13501,20282,19950,26.8,241509,93752,142962,59.2,38.82,252140,51.3762195605616,41.8192274133418,129540,105443,3.51
"23",40,2016,"Acushnet",0,"Town","Bristol","Open town meeting","10303.0",1860,NA,25005,"Massachusetts",5935,6197.2,15.3,4,4.6,8.0999424516,18.6,28.2,7.8,26.6,95.07154126,20.3,1519,275.63955999,3013,22.912896014,4.7885336389,66664,8588,91.336748952,7.3397988357,17.4,34.524557323,3063.3333333,555.71748025,NA,NA,NA,NA,0,2016,2015,"Bristol, MA","bristol","MA",446780,265468,29487,294955,55957,73844,556772,269973,286799,242332,258664,13746,13501,20282,19950,26.8,241509,93752,142962,59.2,38.82,252140,51.3762195605616,41.8192274133418,129540,105443,3.51
"24",41,2017,"Acushnet",0,"Town","Bristol","Open town meeting","10303.0",1860,NA,25005,"Massachusetts",6139,6409.8,15.755457609,4.2965625531,4.5390659675,8.1037475249,17.31210397,28.3,8,25.1,95.07154126,17.664877204,1352,244.6,2732,20.984231103,4.3037425468,67712,8844,90.682948892,6.2986440419,17.3,34.45954626,2872,518.29928535,NA,NA,NA,NA,0,2017,2016,"Bristol, MA","bristol","MA",446780,265468,29487,294955,55957,73844,556772,269973,286799,242332,258664,13746,13501,20282,19950,26.8,241509,93752,142962,59.2,38.82,252140,51.3762195605616,41.8192274133418,129540,105443,3.51
"26",49,2011,"Adams",0,"Town","Berkshire","Representative town meeting","8485.0",1778,"2016-10-31",25003,"Massachusetts",1458,5881.7,13.4,4,3.6,7.86,19.7,23.2,NA,NA,NA,18.9,NA,NA,837,25.2,8.4,44684,736,92.1196,8.1,15.2,35.8,1590,408.1,2016,NA,NA,NA,0,2011,2010,"Berkshire, MA","berkshire","MA",109102,62178,6476,68654,49737,68773,127828,61824,66004,57056,61432,2237,1885,2812,2641,14.9,64486,14252,48843,75.74,22.1,65617,66.6199308106131,25.6625569593246,43714,16839,2.51
"27",50,2012,"Adams",0,"Town","Berkshire","Representative town meeting","8485.0",1778,"2016-10-31",25003,"Massachusetts",1484,6122.18,13.2,3.9,3.5,8,19.4,24,NA,22.5,NA,19.5,311,240.3,849,26.6,4.7,22591,2016,90.972222222,8.2,18.7,34.903381643,1556,415.97938282,2016,NA,NA,NA,0,2012,2011,"Berkshire, MA","berkshire","MA",109102,62178,6476,68654,49737,68773,127828,61824,66004,57056,61432,2237,1885,2812,2641,14.9,64486,14252,48843,75.74,22.1,65617,66.6199308106131,25.6625569593246,43714,16839,2.51
"28",51,2013,"Adams",0,"Town","Berkshire","Representative town meeting","8485.0",1778,"2016-10-31",25003,"Massachusetts",1406,5915.12,12.9,3.8,3.4,7.9,17.5,24,NA,22.5,NA,20.8,370,282,817,24.426704936,5.1,22812,2034,91.445427729,7.3,20.2,34.510376391,536,425.87994897,2016,NA,NA,NA,0,2013,2012,"Berkshire, MA","berkshire","MA",109102,62178,6476,68654,49737,68773,127828,61824,66004,57056,61432,2237,1885,2812,2641,14.9,64486,14252,48843,75.74,22.1,65617,66.6199308106131,25.6625569593246,43714,16839,2.51
"29",52,2014,"Adams",0,"Town","Berkshire","Representative town meeting","8485.0",1778,"2016-10-31",25003,"Massachusetts",1406,5915.12,12.1,3.7,3.6,8.1,17,22,8.5769018924,20.7,74.91826641,21.3,359,275.2,781,23.546792089,4.7540110118,22821,2046,91.54447703,6.7247420809,21.1,35.096581266,543,429.3927085,2016,NA,NA,NA,0,2014,2013,"Berkshire, MA","berkshire","MA",109102,62178,6476,68654,49737,68773,127828,61824,66004,57056,61432,2237,1885,2812,2641,14.9,64486,14252,48843,75.74,22.1,65617,66.6199308106131,25.6625569593246,43714,16839,3.51
"30",53,2015,"Adams",0,"Town","Berkshire","Representative town meeting","8485.0",1778,"2016-10-31",25003,"Massachusetts",1390,5772.84,12.1,3.7,3.6,8.0317422147,17,22.5,8.2,18.8,88.709714294,21.3,337,259.2,714,21.780909673,4.4013080916,23505,2127,91.396332863,7.0745401196,18.8,34.996486297,506.33333333,402.71267683,2016,NA,NA,NA,0,2015,2014,"Berkshire, MA","berkshire","MA",109102,62178,6476,68654,49737,68773,127828,61824,66004,57056,61432,2237,1885,2812,2641,14.9,64486,14252,48843,75.74,22.1,65617,66.6199308106131,25.6625569593246,43714,16839,3.51
"31",54,2016,"Adams",1,"Town","Berkshire","Representative town meeting","8485.0",1778,"2016-10-31",25003,"Massachusetts",1476,6177.6,12.7,3.4,4.1,7.8986220472,15.1,22.9,7.9,19.8,78.98094026,18.4,416,319.96062023,672,20.833333333,4.2055697021,23830,2178,91.414141414,6.4885958013,20.4,35.501733029,506.33333333,402.71267683,2016,NA,NA,NA,0,2016,2015,"Berkshire, MA","berkshire","MA",109102,62178,6476,68654,49737,68773,127828,61824,66004,57056,61432,2237,1885,2812,2641,14.9,64486,14252,48843,75.74,22.1,65617,66.6199308106131,25.6625569593246,43714,16839,3.51
"32",55,2017,"Adams",2,"Town","Berkshire","Representative town meeting","8485.0",1778,"2016-10-31",25003,"Massachusetts",1542,6440.9,12.64714634,3.358344603,4.1014791085,7.7154685736,14.481056801,23.7,7.9,19.3,78.98094026,19.061757971,100,77.2,608,19.216182048,4.0273961367,24250,2255,91.130820399,5.5755395683,19.6,37.220713222,383.33333333,317.17925593,2016,NA,NA,NA,0,2017,2016,"Berkshire, MA","berkshire","MA",109102,62178,6476,68654,49737,68773,127828,61824,66004,57056,61432,2237,1885,2812,2641,14.9,64486,14252,48843,75.74,22.1,65617,66.6199308106131,25.6625569593246,43714,16839,3.51
"34",63,2011,"Agawam",0,"City","Hampden","Mayor-council","28438.0",1855,NA,25013,"Massachusetts",5008,7182.5,15.1,3.8,3.9,8.62,20.3,27.4,NA,NA,NA,18.7,NA,NA,5350,45.1,8.4,93531,1810,85.0276,9.7,23.8,41.7,10420,752,NA,"Richard Cohen","2 years","Nov. 7, 2017",1,2011,2010,"Hampden, MA","hampden","MA",372435,207957,25583,233540,50036,66866,470690,227373,243317,189600,202379,24433,26360,54201,58659,20.8,200399,73392,123619,61.69,36.62,206101,54.6285559022033,38.1778836589827,112590,78685,2.51
"35",64,2012,"Agawam",0,"City","Hampden","Mayor-council","28438.0",1855,NA,25013,"Massachusetts",4881,6973.49,15.3,3.8,3.8,8.7,19.3,28.5,NA,26.4,NA,18.7,2385,517.5,5288,45.9,5.2,46476,4991,85.694249649,10.2,25.5,43.377030649,9590,701.50798615,NA,"Richard Cohen","2 years","Nov. 7, 2017",1,2012,2011,"Hampden, MA","hampden","MA",372435,207957,25583,233540,50036,66866,470690,227373,243317,189600,202379,24433,26360,54201,58659,20.8,200399,73392,123619,61.69,36.62,206101,54.6285559022033,38.1778836589827,112590,78685,2.51
"36",65,2013,"Agawam",0,"City","Hampden","Mayor-council","28438.0",1855,NA,25013,"Massachusetts",4886,6847.84,15.1,3.7,3.8,8.7,18.6,28.5,NA,26.4,NA,19.3,2809,606.1,5200,41.644976575,6.3,46827,5148,87.043512044,9.2,25.4,44.048002503,3184,697.37338752,NA,"Richard Cohen","2 years","Nov. 7, 2017",1,2013,2012,"Hampden, MA","hampden","MA",372435,207957,25583,233540,50036,66866,470690,227373,243317,189600,202379,24433,26360,54201,58659,20.8,200399,73392,123619,61.69,36.62,206101,54.6285559022033,38.1778836589827,112590,78685,2.51
"37",66,2014,"Agawam",0,"City","Hampden","Mayor-council","28438.0",1855,NA,25013,"Massachusetts",4886,6847.84,15,3.8,3.9,8.6,18.8,29.2,8.0488191963,26.8,88.188310427,19.4,2833,610.8,5085,40.707355343,5.667968043,46760,5227,89.17160895,8.5248841592,30.5,45.425212328,3073.6666667,670.45873454,NA,"Richard Cohen","2 years","Nov. 7, 2017",1,2014,2013,"Hampden, MA","hampden","MA",372435,207957,25583,233540,50036,66866,470690,227373,243317,189600,202379,24433,26360,54201,58659,20.8,200399,73392,123619,61.69,36.62,206101,54.6285559022033,38.1778836589827,112590,78685,3.51
"38",67,2015,"Agawam",0,"City","Hampden","Mayor-council","28438.0",1855,NA,25013,"Massachusetts",4893,6638.1,15,3.8,3.9,8.4917874641,18.8,28.9,7.9,26.7,94.161902091,19.4,2858,613.4,4875,39.143421496,4.876221,47241,5295,88.498583569,8.9212544119,29.3,47.336153803,2941,640.7816912,NA,"Richard Cohen","2 years","Nov. 7, 2017",1,2015,2014,"Hampden, MA","hampden","MA",372435,207957,25583,233540,50036,66866,470690,227373,243317,189600,202379,24433,26360,54201,58659,20.8,200399,73392,123619,61.69,36.62,206101,54.6285559022033,38.1778836589827,112590,78685,3.51
"39",68,2016,"Agawam",0,"City","Hampden","Mayor-council","28438.0",1855,NA,25013,"Massachusetts",4897,6600.5,18.9,4.4,4.5,8.3991662592,18.3,28.5,7.9,26.1,93.56016311,18.2,2686,576.49010673,4537,36.719597274,5.0463916992,47586,5383,88.853798997,7.8189522307,26.2,47.351683919,2941,640.7816912,NA,"Richard Cohen","2 years","Nov. 7, 2017",1,2016,2015,"Hampden, MA","hampden","MA",372435,207957,25583,233540,50036,66866,470690,227373,243317,189600,202379,24433,26360,54201,58659,20.8,200399,73392,123619,61.69,36.62,206101,54.6285559022033,38.1778836589827,112590,78685,3.51
"40",69,2017,"Agawam",0,"City","Hampden","Mayor-council","28438.0",1855,NA,25013,"Massachusetts",4970,6486.4,18.605346606,4.4980706433,4.6422572462,8.2472879362,18.19831852,27.5,8,24.7,93.56016311,19.22387805,2375,508.2,4081,33.393612582,4.2016261345,47683,5305,90.518378888,6.7645011706,27.4,47.893761581,2790.6666667,604.90542753,NA,"Richard Cohen","2 years","Nov. 7, 2017",1,2017,2016,"Hampden, MA","hampden","MA",372435,207957,25583,233540,50036,66866,470690,227373,243317,189600,202379,24433,26360,54201,58659,20.8,200399,73392,123619,61.69,36.62,206101,54.6285559022033,38.1778836589827,112590,78685,3.51
"42",77,2011,"Alford",0,"Town","Berkshire","Open town meeting","494.0",1773,NA,25003,"Massachusetts",1458,5881.7,13.4,4,3.6,7.86,19.7,23.2,NA,NA,NA,18.9,NA,NA,837,25.2,8.4,44684,736,92.1196,8.1,15.2,35.8,1590,408.1,NA,NA,NA,NA,0,2011,2010,"Berkshire, MA","berkshire","MA",109102,62178,6476,68654,49737,68773,127828,61824,66004,57056,61432,2237,1885,2812,2641,14.9,64486,14252,48843,75.74,22.1,65617,66.6199308106131,25.6625569593246,43714,16839,2.51
"43",78,2012,"Alford",0,"Town","Berkshire","Open town meeting","494.0",1773,NA,25003,"Massachusetts",1484,6122.18,13.2,3.9,3.5,8,19.4,24,NA,22.5,NA,19.5,311,240.3,849,26.6,4.7,22591,2016,90.972222222,8.2,18.7,34.903381643,1556,415.97938282,NA,NA,NA,NA,0,2012,2011,"Berkshire, MA","berkshire","MA",109102,62178,6476,68654,49737,68773,127828,61824,66004,57056,61432,2237,1885,2812,2641,14.9,64486,14252,48843,75.74,22.1,65617,66.6199308106131,25.6625569593246,43714,16839,2.51
"44",79,2013,"Alford",0,"Town","Berkshire","Open town meeting","494.0",1773,NA,25003,"Massachusetts",1406,5915.12,12.9,3.8,3.4,7.9,17.5,24,NA,22.5,NA,20.8,370,282,817,24.426704936,5.1,22812,2034,91.445427729,7.3,20.2,34.510376391,536,425.87994897,NA,NA,NA,NA,0,2013,2012,"Berkshire, MA","berkshire","MA",109102,62178,6476,68654,49737,68773,127828,61824,66004,57056,61432,2237,1885,2812,2641,14.9,64486,14252,48843,75.74,22.1,65617,66.6199308106131,25.6625569593246,43714,16839,2.51
"45",80,2014,"Alford",0,"Town","Berkshire","Open town meeting","494.0",1773,NA,25003,"Massachusetts",1406,5915.12,12.1,3.7,3.6,8.1,17,22,8.5769018924,20.7,74.91826641,21.3,359,275.2,781,23.546792089,4.7540110118,22821,2046,91.54447703,6.7247420809,21.1,35.096581266,543,429.3927085,NA,NA,NA,NA,0,2014,2013,"Berkshire, MA","berkshire","MA",109102,62178,6476,68654,49737,68773,127828,61824,66004,57056,61432,2237,1885,2812,2641,14.9,64486,14252,48843,75.74,22.1,65617,66.6199308106131,25.6625569593246,43714,16839,3.51
"46",81,2015,"Alford",0,"Town","Berkshire","Open town meeting","494.0",1773,NA,25003,"Massachusetts",1390,5772.84,12.1,3.7,3.6,8.0317422147,17,22.5,8.2,18.8,88.709714294,21.3,337,259.2,714,21.780909673,4.4013080916,23505,2127,91.396332863,7.0745401196,18.8,34.996486297,506.33333333,402.71267683,NA,NA,NA,NA,0,2015,2014,"Berkshire, MA","berkshire","MA",109102,62178,6476,68654,49737,68773,127828,61824,66004,57056,61432,2237,1885,2812,2641,14.9,64486,14252,48843,75.74,22.1,65617,66.6199308106131,25.6625569593246,43714,16839,3.51
"47",82,2016,"Alford",0,"Town","Berkshire","Open town meeting","494.0",1773,NA,25003,"Massachusetts",1476,6177.6,12.7,3.4,4.1,7.8986220472,15.1,22.9,7.9,19.8,78.98094026,18.4,416,319.96062023,672,20.833333333,4.2055697021,23830,2178,91.414141414,6.4885958013,20.4,35.501733029,506.33333333,402.71267683,NA,NA,NA,NA,0,2016,2015,"Berkshire, MA","berkshire","MA",109102,62178,6476,68654,49737,68773,127828,61824,66004,57056,61432,2237,1885,2812,2641,14.9,64486,14252,48843,75.74,22.1,65617,66.6199308106131,25.6625569593246,43714,16839,3.51
"48",83,2017,"Alford",0,"Town","Berkshire","Open town meeting","494.0",1773,NA,25003,"Massachusetts",1542,6440.9,12.64714634,3.358344603,4.1014791085,7.7154685736,14.481056801,23.7,7.9,19.3,78.98094026,19.061757971,100,77.2,608,19.216182048,4.0273961367,24250,2255,91.130820399,5.5755395683,19.6,37.220713222,383.33333333,317.17925593,NA,NA,NA,NA,0,2017,2016,"Berkshire, MA","berkshire","MA",109102,62178,6476,68654,49737,68773,127828,61824,66004,57056,61432,2237,1885,2812,2641,14.9,64486,14252,48843,75.74,22.1,65617,66.6199308106131,25.6625569593246,43714,16839,3.51
"50",91,2011,"Amesbury",0,"City","Essex","Mayor-council","16283.0",1668,NA,25009,"Massachusetts",6527,5591,13.3,3.2,3.2,7.66,16.9,23.4,NA,NA,NA,19.2,NA,NA,4372,25.5,8.8,158426,2524,86.3708,9,11.8,30.2,8176,371.3,NA,"Ken Gray","2 years","Nov. 7, 2017",1,2011,2010,"Essex, MA","essex","MA",607846,377044,34841,411885,68776,93006,776043,374383,401660,321296,347115,25233,25393,73522,75821,15.4,366357,150480,210302,57.4,41.07,385370,57.6874172872824,35.3727586475335,222310,136316,2.51
"51",92,2012,"Amesbury",0,"City","Essex","Mayor-council","16283.0",1668,NA,25009,"Massachusetts",6421,5353.96,13.4,3.1,3.2,7.8,16.4,23.6,NA,22.3,NA,19.3,2256,306.3,4306,25.8,4.8,78396,6778,86.85452936,8.9,14.5,31.110802346,7925,357.03248117,NA,"Ken Gray","2 years","Nov. 7, 2017",1,2012,2011,"Essex, MA","essex","MA",607846,377044,34841,411885,68776,93006,776043,374383,401660,321296,347115,25233,25393,73522,75821,15.4,366357,150480,210302,57.4,41.07,385370,57.6874172872824,35.3727586475335,222310,136316,2.51
