"","Nearby T21 Ratio"
"Acushnet",0.008
"Agawam",0
"Alford",0
"Amesbury",0.009
"Aquinnah",0
"Ashburnham",0.005
"Ashby",0.005
"Ashfield",0
"Athol",0
"Auburn",0.004
"Avon",0.005
"Ayer",0.005
"Barnstable",0
"Barre",0.005
"Becket",0
"Bedford",0.005
"Bellingham",0.005
"Berkley",0.006
"Berlin",0.004
"Bernardston",0
"Beverly",0.006
"Billerica",0.005
"Blandford",0
"Bolton",0.004
"Bourne",0.01
"Boxborough",0.005
"Boxford",0.006
"Boylston",0.004
"Brookfield",0.005
"Burlington",0.005
"Carlisle",0.005
"Charlton",0.005
"Chatham",0
"Cheshire",0
"Chester",0
"Chesterfield",0
"Chicopee",0
"Chilmark",0
"Clarksburg",0
"Clinton",0.004
"Colrain",0
"Conway",0
"Cummington",0
"Dalton",0
"Dartmouth",0.01
"Dennis",0
"Dighton",0.006
"Douglas",0.005
"Dracut",0.005
"Dudley",0.005
"Dunstable",0.005
"East Bridgewater",0.005
"East Brookfield",0.005
"East Longmeadow",0
"Easthampton",0
"Edgartown",0
"Erving",0
"Everett",0.005
"Fairhaven",0.01
"Fall River",0.008
"Fitchburg",0.005
"Florida",0
"Freetown",0.007
"Gardner",0.005
"Georgetown",0.006
"Goshen",0
"Gosnold",0
"Granby",0
"Granville",0
"Groton",0.005
"Groveland",0.007
"Hampden",0
"Hancock",0
"Hanson",0.005
"Hardwick",0.006
"Harvard",0.005
"Harwich",0
"Haverhill",0.007
"Hawley",0
"Heath",0
"Hingham",0.005
"Hinsdale",0
"Holden",0.005
"Holland",0.006
"Holliston",0.004
"Hopkinton",0.004
"Hubbardston",0.005
"Huntington",0
"Ipswich",0.007
"Lakeville",0.006
"Lancaster",0.004
"Leicester",0.005
"Leominster",0.005
"Leyden",0
"Littleton",0.005
"Longmeadow",0
"Ludlow",0
"Lunenburg",0.005
"Lynn",0.005
"Lynnfield",0.005
"Manchester-by-the-Sea",0.006
"Mattapoisett",0.01
"Merrimac",0.008
"Middleborough",0.006
"Middlefield",0
"Millbury",0.004
"Millville",0.005
"Monroe",0
"Monson",0
"Monterey",0
"Montgomery",0
"Mount Washington",0
"Nahant",0.005
"Nantucket",0
"New Ashford",0
"New Bedford",0.01
"New Braintree",0.005
"New Marlborough",0
"New Salem",0
"Newbury",0.007
"Newburyport",0.008
"North Brookfield",0.005
"Northbridge",0.004
"Northfield",0
"Norton",0.005
"Oak Bluffs",0
"Oakham",0.005
"Orange",0
"Otis",0
"Oxford",0.005
"Palmer",0
"Paxton",0.005
"Pelham",0
"Pembroke",0.005
"Pepperell",0.005
"Peru",0
"Petersham",0
"Phillipston",0.006
"Plainfield",0
"Plymouth",0.006
"Plympton",0.006
"Princeton",0.005
"Quincy",0.005
"Raynham",0.005
"Rehoboth",0.006
"Revere",0.005
"Richmond",0
"Rochester",0.008
"Rockland",0.005
"Rowe",0
"Rowley",0.007
"Royalston",0
"Russell",0
"Rutland",0.005
"Salisbury",0.009
"Sandisfield",0
"Sandwich",0
"Savoy",0
"Seekonk",0.006
"Sheffield",0
"Shirley",0.005
"Shrewsbury",0.004
"Shutesbury",0
"Somerset",0.007
"Southbridge",0.006
"Spencer",0.005
"Springfield",0
"Sterling",0.004
"Stow",0.004
"Sturbridge",0.006
"Sudbury",0.004
"Sutton",0.005
"Swansea",0.007
"Taunton",0.006
"Templeton",0.005
"Tisbury",0
"Tolland",0
"Truro",0
"Tyringham",0
"Upton",0.004
"Uxbridge",0.005
"Wales",0
"Ware",0
"Warren",0.006
"Warwick",0
"Washington",0
"Webster",0.005
"Wellfleet",0
"Wendell",0
"Wenham",0.006
"West Boylston",0.004
"West Bridgewater",0.005
"West Brookfield",0.005
"West Newbury",0.007
"West Springfield",0
"West Stockbridge",0
"West Tisbury",0
"Westborough",0.004
"Westhampton",0
"Westminster",0.005
"Westport",0.01
"Weymouth",0.005
"Wilbraham",0
"Williamsburg",0
"Winchendon",0.006
"Windsor",0
"Winthrop",0.005
"Woburn",0.005
"Worthington",0
"Wrentham",0.005
