"","Nearby T21 Ratio"
"Acton",0.105
"Adams",0
"Amherst",0.013
"Andover",0.122
"Arlington",0.106
"Ashland",0.101
"Attleboro",0.119
"Belchertown",0.012
"Belmont",0.103
"Blackstone",0.108
"Boston",0.107
"Braintree",0.101
"Brewster",0.04
"Bridgewater",0.12
"Brimfield",0.041
"Brockton",0.112
"Brookline",0.104
"Buckland",0.008
"Cambridge",0.107
"Canton",0.097
"Carver",0.14
"Charlemont",0.009
"Chelmsford",0.108
"Chelsea",0.111
"Cohasset",0.117
"Concord",0.1
"Danvers",0.126
"Dedham",0.095
"Deerfield",0.007
"Dover",0.096
"Duxbury",0.124
"Eastham",0.053
"Easton",0.108
"Egremont",0
"Essex",0.148
"Falmouth",0.064
"Foxborough",0.102
"Framingham",0.102
"Franklin",0.105
"Gill",0.007
"Gloucester",0.161
"Grafton",0.1
"Great Barrington",0
"Greenfield",0.007
"Hadley",0.007
"Hamilton",0.14
"Hanover",0.118
"Halifax",0.122
"Hatfield",0.007
"Holbrook",0.106
"Holyoke",0.007
"Hopedale",0.103
"Hudson",0.095
"Hull",0.111
"Kingston",0.125
"Lanesborough",0
"Lawrence",0.127
"Lee",0
"Lenox",0
"Leverett",0.013
"Lexington",0.104
"Lincoln",0.101
"Lowell",0.113
"Malden",0.11
"Mansfield",0.107
"Marblehead",0.125
"Marion",0.142
"Marlborough",0.098
"Marshfield",0.124
"Mashpee",0.077
"Maynard",0.102
"Medfield",0.102
"Medford",0.107
"Medway",0.099
"Melrose",0.107
"Mendon",0.104
"Methuen",0.129
"Middleton",0.124
"Millis",0.102
"Milford",0.102
"Milton",0.105
"Montague",0.007
"Natick",0.102
"Needham",0.093
"Newton",0.097
"Norfolk",0.105
"North Adams",0
"North Andover",0.127
"North Attleboro",0.114
"North Reading",0.118
"Northampton",0.007
"Northborough",0.098
"Norwell",0.117
"Norwood",0.095
"Orleans",0.048
"Peabody",0.122
"Pittsfield",0
"Plainville",0.111
"Provincetown",0.041
"Reading",0.108
"Randolph",0.105
"Rockport",0.153
"Salem",0.123
"Saugus",0.114
"Scituate",0.117
"Sharon",0.097
"Shelburne",0.008
"Sherborn",0.096
"Somerville",0.107
"South Hadley",0.007
"Southampton",0.007
"Southborough",0.1
"Southwick",0.008
"Stockbridge",0
"Stoneham",0.106
"Stoughton",0.104
"Sunderland",0.007
"Swampscott",0.118
"Tewksbury",0.113
"Topsfield",0.132
"Townsend",0.109
"Tyngsborough",0.115
"Wakefield",0.109
"Walpole",0.105
"Waltham",0.102
"Wareham",0.126
"Watertown",0.103
"Wayland",0.104
"Wellesley",0.098
"Westfield",0.008
"Westford",0.102
"Weston",0.104
"Westwood",0.094
"Whately",0.007
"Whitman",0.114
"Williamstown",0
"Wilmington",0.111
"Winchester",0.103
"Worcester",0.097
"Yarmouth",0.016
"Abington",0.114
"Acushnet",0.118
"Agawam",0.007
"Alford",0
"Amesbury",0.162
"Aquinnah",0.02
"Ashburnham",0.094
"Ashby",0.096
"Ashfield",0.008
"Athol",0.024
"Auburn",0.099
"Avon",0.105
"Ayer",0.102
"Barnstable",0.029
"Barre",0.074
"Becket",0.01
"Bedford",0.104
"Bellingham",0.106
"Berkley",0.134
"Berlin",0.099
"Bernardston",0.007
"Beverly",0.128
