"","Nearby T21 Ratio"
"Billerica",0.107
"Blandford",0.009
"Bolton",0.101
"Bourne",0.124
"Boxborough",0.104
"Boxford",0.131
"Boylston",0.095
"Brookfield",0.086
"Burlington",0.108
"Carlisle",0.104
"Charlton",0.09
"Chatham",0.029
"Cheshire",0
"Chester",0.009
"Chesterfield",0.008
"Chicopee",0.007
"Chilmark",0.02
"Clarksburg",0
"Clinton",0.095
"Colrain",0.008
"Conway",0.007
"Cummington",0.008
"Dalton",0
"Dartmouth",0.134
"Dennis",0.034
"Dighton",0.131
"Douglas",0.103
"Dracut",0.117
"Dudley",0.095
"Dunstable",0.108
"East Bridgewater",0.116
"East Brookfield",0.087
"East Longmeadow",0.007
"Easthampton",0.007
"Edgartown",0.02
"Erving",0.019
"Everett",0.109
"Fairhaven",0.133
"Fall River",0.115
"Fitchburg",0.103
"Florida",0
"Freetown",0.129
"Gardner",0.093
"Georgetown",0.142
"Goshen",0.008
"Gosnold",0.043
"Granby",0.013
"Granville",0.009
"Groton",0.106
"Groveland",0.15
"Hampden",0.014
"Hancock",0
"Hanson",0.117
"Hardwick",0.05
"Harvard",0.105
"Harwich",0.048
"Haverhill",0.149
"Hawley",0.009
"Heath",0.009
"Hingham",0.11
"Hinsdale",0
"Holden",0.1
"Holland",0.061
"Holliston",0.101
"Hopkinton",0.1
"Hubbardston",0.104
"Huntington",0.008
"Ipswich",0.146
"Lakeville",0.139
"Lancaster",0.096
"Leicester",0.102
"Leominster",0.1
"Leyden",0.008
"Littleton",0.107
"Longmeadow",0.007
"Ludlow",0.012
"Lunenburg",0.103
"Lynn",0.116
"Lynnfield",0.116
"Manchester-by-the-Sea",0.14
"Mattapoisett",0.125
"Merrimac",0.154
"Middleborough",0.132
"Middlefield",0.009
"Millbury",0.096
"Millville",0.109
"Monroe",0
"Monson",0.026
"Monterey",0
"Montgomery",0.008
"Mount Washington",0
"Nahant",0.115
"Nantucket",0.038
"New Ashford",0
"New Bedford",0.137
"New Braintree",0.074
"New Marlborough",0
"New Salem",0.018
"Newbury",0.148
"Newburyport",0.161
"North Brookfield",0.084
"Northbridge",0.1
"Northfield",0.014
"Norton",0.113
"Oak Bluffs",0.016
"Oakham",0.096
"Orange",0.025
"Otis",0.01
"Oxford",0.105
"Palmer",0.025
"Paxton",0.103
"Pelham",0.012
"Pembroke",0.121
"Pepperell",0.111
"Peru",0.009
"Petersham",0.044
"Phillipston",0.056
"Plainfield",0.009
"Plymouth",0.135
"Plympton",0.128
"Princeton",0.101
"Quincy",0.107
"Raynham",0.122
"Rehoboth",0.119
"Revere",0.111
"Richmond",0
"Rochester",0.122
"Rockland",0.113
"Rowe",0
"Rowley",0.153
"Royalston",0.026
"Russell",0.008
"Rutland",0.104
"Salisbury",0.17
"Sandisfield",0.01
"Sandwich",0.101
"Savoy",0
"Seekonk",0.124
"Sheffield",0
"Shirley",0.101
"Shrewsbury",0.094
"Shutesbury",0.012
"Somerset",0.135
"Southbridge",0.091
"Spencer",0.099
"Springfield",0.007
"Sterling",0.096
"Stow",0.103
"Sturbridge",0.089
"Sudbury",0.103
"Sutton",0.099
"Swansea",0.133
"Taunton",0.124
"Templeton",0.075
"Tisbury",0.016
"Tolland",0.01
"Truro",0.043
"Tyringham",0
"Upton",0.102
"Uxbridge",0.105
"Wales",0.031
"Ware",0.045
"Warren",0.062
"Warwick",0.02
"Washington",0.01
"Webster",0.095
"Wellfleet",0.044
"Wendell",0.019
"Wenham",0.131
"West Boylston",0.096
"West Bridgewater",0.116
"West Brookfield",0.081
"West Newbury",0.148
"West Springfield",0.007
"West Stockbridge",0
"West Tisbury",0.019
"Westborough",0.1
"Westhampton",0.008
"Westminster",0.102
"Westport",0.135
"Weymouth",0.108
"Wilbraham",0.013
"Williamsburg",0.007
"Winchendon",0.065
"Windsor",0
"Winthrop",0.11
"Woburn",0.108
"Worthington",0.008
"Wrentham",0.106
