"","TownName","ratio","year"
"259","rowley",0,2010
"260","royalston",0,2010
"261","rutland",0,2010
"262","seekonk",0,2010
"263","shrewsbury",0,2010
"264","southbridge",0,2010
"265","stockbridge",0,2010
"266","stoneham",0,2010
"267","stow",0,2010
"268","shelburne",0,2010
"269","sherborn",0,2010
"270","phillipston",0,2010
"271","new braintree",0,2010
"272","newburyport",0,2010
"273","uxbridge",0,2010
"274","newton",0,2010
"275","norfolk",0,2010
"276","north andover",0,2010
"277","rowe",0,2010
"278","russell",0,2010
"279","north reading",0,2010
"280","sterling",0,2010
"281","stoughton",0,2010
"282","sturbridge",0,2010
"283","sudbury",0,2010
"284","sunderland",0,2010
"285","swampscott",0,2010
"286","warwick",0,2010
"287","wellfleet",0,2010
"288","peru",0,2010
"289","middlefield",0,2010
"290","middleton",0,2010
"291","milford",0,2010
"292","millis",0,2010
"293","orange",0,2010
"294","peabody",0,2010
"295","pelham",0,2010
"296","princeton",0,2010
"297","sharon",0,2010
"298","southwick",0,2010
"299","springfield",0,2010
"300","revere",0,2010
"301","rochester",0,2010
"302","whately",0,2010
"303","williamstown",0,2010
"304","rockport",0,2010
"305","winchendon",0,2010
"306","windsor",0,2010
"307","worcester",0,2010
"308","wrentham",0,2010
"309","truro",0,2010
"310","tyngsborough",0,2010
"311","upton",0,2010
"312","wakefield",0,2010
"313","west tisbury",0,2010
"314","westfield",0,2010
"315","westminster",0,2010
"316","sandisfield",0,2010
"317","sandwich",0,2010
"318","saugus",0,2010
"319","savoy",0,2010
"320","weston",0,2010
"321","westwood",0,2010
"322","weymouth",0,2010
"323","swansea",0,2010
"324","taunton",0,2010
"325","west newbury",0,2010
"326","south hadley",0,2010
"327","southampton",0,2010
"328","southborough",0,2010
"329","templeton",0,2010
"330","tisbury",0,2010
"331","tolland",0,2010
"332","walpole",0,2010
"333","waltham",0,2010
"334","warren",0,2010
"335","watertown",0,2010
"336","wayland",0,2010
"337","webster",0,2010
"338","wellesley",0,2010
"339","wendell",0,2010
"340","topsfield",0,2010
"341","west stockbridge",0,2010
"342","westborough",0,2010
"343","westport",0,2010
"344","wales",0,2010
"345","salem",0,2010
"346","salisbury",0,2010
"347","wilbraham",0,2010
"348","wilmington",0,2010
"349","winthrop",0,2010
"350","woburn",0,2010
"351","worthington",0,2010
"352","petersham",0,2011
"353","plainville",0,2011
"354","quincy",0,2011
"355","rockland",0,2011
"356","scituate",0,2011
"357","spencer",0,2011
"358","tyringham",0,2011
"359","otis",0,2011
"360","sheffield",0,2011
"361","northborough",0,2011
"362","westhampton",0,2011
"363","ware",0,2011
"364","wareham",0,2011
"365","washington",0,2011
"366","wenham",0,2011
"367","west boylston",0,2011
"368","west bridgewater",0,2011
"369","westford",0,2011
"370","whitman",0,2011
"371","williamsburg",0,2011
"372","yarmouth",0,2011
"373","west brookfield",0,2011
"374","winchester",0,2011
"375","beverly",0,2011
"376","billerica",0,2011
"377","boxford",0,2011
"378","boylston",0,2011
"379","adams",0,2011
"380","alford",0,2011
"381","amherst",0,2011
"382","ashburnham",0,2011
"383","ashby",0,2011
"384","auburn",0,2011
"385","avon",0,2011
"386","barre",0,2011
"387","belchertown",0,2011
"388","berlin",0,2011
"389","bernardston",0,2011
"390","blandford",0,2011
"391","bolton",0,2011
"392","bourne",0,2011
"393","boxborough",0,2011
"394","brockton",0,2011
"395","burlington",0,2011
"396","chatham",0,2011
"397","cheshire",0,2011
"398","chester",0,2011
"399","clarksburg",0,2011
"400","dartmouth",0,2011
"401","dennis",0,2011
"402","douglas",0,2011
"403","ashfield",0,2011
"404","acton",0,2011
"405","attleboro",0,2011
"406","barnstable",0,2011
"407","blackstone",0,2011
"408","boston",0,2011
"409","charlton",0,2011
"410","clinton",0,2011
"411","cummington",0,2011
"412","duxbury",0,2011
"413","eastham",0,2011
"414","essex",0,2011
"415","dunstable",0,2011
"416","everett",0,2011
"417","florida",0,2011
"418","granville",0,2011
"419","great barrington",0,2011
"420","hardwick",0,2011
"421","hubbardston",0,2011
"422","ipswich",0,2011
"423","leverett",0,2011
"424","mansfield",0,2011
"425","mashpee",0,2011
"426","middleborough",0,2011
"427","millville",0,2011
"428","nantucket",0,2011
"429","grafton",0,2011
"430","hawley",0,2011
"431","fitchburg",0,2011
"432","gloucester",0,2011
"433","gosnold",0,2011
"434","sutton",0,2011
"435","marion",0,2011
"436","mendon",0,2011
"437","holden",0,2011
"438","townsend",0,2011
"439","new ashford",0,2011
"440","newbury",0,2011
"441","norton",0,2011
"442","orleans",0,2011
"443","dedham",0,2011
"444","easthampton",0,2011
"445","erving",0,2011
"446","deerfield",0,2011
"447","dighton",0,2011
"448","brookfield",0,2011
"449","brookline",0,2011
"450","hadley",0,2011
"451","bridgewater",0,2011
"452","brimfield",0,2011
"453","dracut",0,2011
"454","colrain",0,2011
"455","dalton",0,2011
"456","east longmeadow",0,2011
"457","easton",0,2011
"458","edgartown",0,2011
"459","egremont",0,2011
"460","falmouth",0,2011
"461","franklin",0,2011
"462","foxborough",0,2011
"463","chilmark",0,2011
"464","framingham",0,2011
"465","abington",0,2011
"466","acushnet",0,2011
"467","agawam",0,2011
"468","amesbury",0,2011
"469","andover",0,2011
"470","arlington",0,2011
"471","ashland",0,2011
"472","athol",0,2011
"473","ayer",0,2011
"474","belmont",0,2011
"475","berkley",0,2011
"476","chicopee",0,2011
"477","conway",0,2011
"478","danvers",0,2011
"479","huntington",0,2011
"480","kingston",0,2011
"481","lanesborough",0,2011
"482","leicester",0,2011
"483","littleton",0,2011
"484","longmeadow",0,2011
"485","lunenburg",0,2011
"486","marlborough",0,2011
"487","marshfield",0,2011
"488","maynard",0,2011
"489","melrose",0,2011
"490","merrimac",0,2011
"491","millbury",0,2011
"492","montague",0,2011
"493","monterey",0,2011
"494","mount washington",0,2011
"495","buckland",0,2011
"496","cambridge",0,2011
"497","canton",0,2011
"498","carlisle",0,2011
"499","cohasset",0,2011
"500","concord",0,2011
"501","dover",0,2011
"502","dudley",0,2011
"503","east bridgewater",0,2011
"504","east brookfield",0,2011
"505","braintree",0,2011
"506","brewster",0,2011
"507","becket",0,2011
"508","bedford",0,2011
"509","bellingham",0,2011
"510","chelmsford",0,2011
"511","chelsea",0,2011
