"","Nearby T21 Ratio"
"Ashby",0.005
"Ashfield",0
"Athol",0
"Auburn",0.009
"Avon",0.01
"Ayer",0.009
"Barnstable",0
"Barre",0.005
"Becket",0
"Bedford",0.009
"Bellingham",0.009
"Berkley",0.012
"Berlin",0.009
"Bernardston",0
"Beverly",0.012
"Billerica",0.01
"Blandford",0
"Bolton",0.009
"Bourne",0.021
"Boxborough",0.009
"Boxford",0.012
"Boylston",0.009
"Brookfield",0.011
"Burlington",0.01
"Carlisle",0.009
"Charlton",0.01
"Chatham",0
"Cheshire",0
"Chester",0
"Chesterfield",0
"Chicopee",0
"Chilmark",0
"Clarksburg",0
"Clinton",0.009
"Colrain",0
"Conway",0
"Cummington",0
"Dalton",0
"Dartmouth",0.021
"Dennis",0
"Dighton",0.012
"Douglas",0.009
"Dracut",0.011
"Dudley",0.011
"Dunstable",0.01
"East Bridgewater",0.01
"East Brookfield",0.01
"East Longmeadow",0
"Easthampton",0
"Edgartown",0
"Erving",0
"Everett",0.01
"Fairhaven",0.019
"Fall River",0.015
"Fitchburg",0.009
"Florida",0
"Freetown",0.014
"Gardner",0.005
"Georgetown",0.013
"Goshen",0
"Gosnold",0.014
"Granby",0
"Granville",0
"Groton",0.01
"Groveland",0.014
"Hampden",0
"Hancock",0
"Hanson",0.01
"Hardwick",0.006
"Harvard",0.009
"Harwich",0
"Haverhill",0.014
"Hawley",0
"Heath",0
"Hingham",0.01
"Hinsdale",0
"Holden",0.009
"Holland",0.006
"Holliston",0.009
"Hopkinton",0.009
"Hubbardston",0.01
"Huntington",0
"Ipswich",0.013
"Lakeville",0.013
"Lancaster",0.009
"Leicester",0.009
"Leominster",0.009
"Leyden",0
"Littleton",0.009
"Longmeadow",0
"Ludlow",0
"Lunenburg",0.009
"Lynn",0.011
"Lynnfield",0.011
"Manchester-by-the-Sea",0.013
"Mattapoisett",0.019
"Merrimac",0.015
"Middleborough",0.012
"Middlefield",0
"Millbury",0.009
"Millville",0.009
"Monroe",0
"Monson",0
"Monterey",0
"Montgomery",0
"Mount Washington",0
"Nahant",0.01
"Nantucket",0
"New Ashford",0
"New Bedford",0.02
"New Braintree",0.005
"New Marlborough",0
"New Salem",0
"Newbury",0.015
"Newburyport",0.016
"North Brookfield",0.01
"Northbridge",0.009
"Northfield",0
"Norton",0.01
"Oak Bluffs",0
"Oakham",0.01
"Orange",0
"Otis",0
"Oxford",0.01
"Palmer",0
"Paxton",0.009
"Pelham",0
"Pembroke",0.011
"Pepperell",0.01
"Peru",0
"Petersham",0
"Phillipston",0.006
"Plainfield",0
"Plymouth",0.013
"Plympton",0.012
"Princeton",0.009
"Quincy",0.01
"Raynham",0.011
"Rehoboth",0.011
"Revere",0.01
"Richmond",0
"Rochester",0.015
"Rockland",0.01
"Rowe",0
"Rowley",0.014
"Royalston",0
"Russell",0
"Rutland",0.009
"Salisbury",0.009
"Sandisfield",0
"Sandwich",0.011
"Savoy",0
"Seekonk",0.012
"Sheffield",0
"Shirley",0.009
"Shrewsbury",0.009
"Shutesbury",0
"Somerset",0.014
"Southbridge",0.011
"Spencer",0.01
"Springfield",0
"Sterling",0.009
"Stow",0.009
"Sturbridge",0.011
"Sudbury",0.009
"Sutton",0.009
"Swansea",0.014
"Taunton",0.011
"Templeton",0.005
"Tisbury",0
"Tolland",0
"Truro",0
"Tyringham",0
"Upton",0.009
"Uxbridge",0.009
"Wales",0
"Ware",0
"Warren",0.006
"Warwick",0
"Washington",0
"Webster",0.01
"Wellfleet",0
"Wendell",0
"Wenham",0.012
"West Boylston",0.009
"West Bridgewater",0.01
"West Brookfield",0.011
"West Newbury",0.015
"West Springfield",0
"West Stockbridge",0
"West Tisbury",0
"Westborough",0.009
"Westhampton",0
"Westminster",0.01
"Westport",0.021
"Weymouth",0.01
"Wilbraham",0
"Williamsburg",0
"Winchendon",0.006
"Windsor",0
"Winthrop",0.01
"Woburn",0.01
"Worthington",0
"Wrentham",0.009
