"","NoT21Towns","lon","lat"
"113","Mount Washington , Massachusetts",-73.4516852,42.0850246
"114","Nahant , Massachusetts",-70.922279,42.4265633
"115","Nantucket , Massachusetts",-70.099451,41.2834704
"116","New Ashford , Massachusetts",-73.2395502,42.605082
"117","New Bedford , Massachusetts",-70.934205,41.6362152
"118","New Braintree , Massachusetts",-72.1259114,42.3167581
"119","New Marlborough , Massachusetts",-73.2529464,42.1111825
"120","New Salem , Massachusetts",-72.3320289,42.5042551
"121","Newbury , Massachusetts",-70.8714528,42.7649497
"122","Newburyport , Massachusetts",-70.8772751,42.8125913
"123","North Brookfield , Massachusetts",-72.08504,42.2685574
"124","Northbridge , Massachusetts",-71.6494407,42.1516323
"125","Northfield , Massachusetts",-72.4528885,42.6959093
"126","Norton , Massachusetts",-71.1869963,41.9667703
"127","Oak Bluffs , Massachusetts",-70.5619724,41.4542793
"128","Oakham , Massachusetts",-72.0449783,42.3527105
"129","Orange , Massachusetts",-72.3097914,42.590354
"130","Otis , Massachusetts",-73.0919689,42.1930224
"131","Oxford , Massachusetts",-71.8647577,42.1167606
"132","Palmer , Massachusetts",-72.3286869,42.1584103
"133","Paxton , Massachusetts",-71.9278427,42.3114889
"134","Pelham , Massachusetts",-72.4036961,42.3931455
"135","Pembroke , Massachusetts",-70.8092,42.0714925
"136","Pepperell , Massachusetts",-71.5884363,42.6659232
"137","Peru , Massachusetts",-73.0459339,42.4381417
"138","Petersham , Massachusetts",-72.186669,42.4837752
"139","Phillipston , Massachusetts",-72.1328582,42.5486993
"140","Plainfield , Massachusetts",-72.9162075,42.5153633
"141","Plymouth , Massachusetts",-70.6672621,41.9584457
"142","Plympton , Massachusetts",-70.8148435,41.9558953
"143","Princeton , Massachusetts",-71.877296,42.4487019
"144","Quincy , Massachusetts",-71.0022705,42.2528772
"145","Raynham , Massachusetts",-71.0731162,41.9487077
"146","Rehoboth , Massachusetts",-71.2393933,41.8470056
"147","Revere , Massachusetts",-71.0119948,42.4084302
"148","Richmond , Massachusetts",-73.3676804,42.3729519
"149","Rochester , Massachusetts",-70.8452677,41.7549658
"150","Rockland , Massachusetts",-70.9161551,42.1306563
"151","Rowe , Massachusetts",-72.899542,42.6934166
"152","Rowley , Massachusetts",-70.8787277,42.7167483
"153","Royalston , Massachusetts",-72.1878604,42.6775856
"154","Russell , Massachusetts",-72.8591256,42.189861
"155","Rutland , Massachusetts",-71.9481211,42.3695086
"156","Salisbury , Massachusetts",-70.8605982,42.841723
"157","Sandisfield , Massachusetts",-73.1431637,42.1125914
"158","Sandwich , Massachusetts",-70.4939317,41.7589615
"159","Savoy , Massachusetts",-73.0287112,42.5667512
"160","Seekonk , Massachusetts",-71.3369972,41.808434
"161","Sheffield , Massachusetts",-73.3551436,42.1099885
"162","Shirley , Massachusetts",-71.6495176,42.5437035
"163","Shrewsbury , Massachusetts",-71.7128471,42.2959267
"164","Shutesbury , Massachusetts",-72.4098077,42.4564779
"165","Somerset , Massachusetts",-71.1286194,41.7695425
"166","Southbridge , Massachusetts",-72.0333905,42.0751065
"167","Spencer , Massachusetts",-71.9922867,42.2439682
"168","Springfield , Massachusetts",-72.589811,42.1014831
"169","Sterling , Massachusetts",-71.7606293,42.4374156
"170","Stow , Massachusetts",-71.5056199,42.4370374
"171","Sturbridge , Massachusetts",-72.0787059,42.1084122
"172","Sudbury , Massachusetts",-71.4161725,42.3834278
"173","Sutton , Massachusetts",-71.7632878,42.1500353
"174","Swansea , Massachusetts",-71.1895617,41.748162
"175","Taunton , Massachusetts",-71.0897674,41.900101
"176","Templeton , Massachusetts",-72.067579,42.555644
"177","Tisbury , Massachusetts",-70.6141097,41.4558899
"178","Tolland , Massachusetts",-73.0118668,42.0813879
"179","Truro , Massachusetts",-70.0490107,41.99477
"180","Tyringham , Massachusetts",-73.2037171,42.2459215
"181","Upton , Massachusetts",-71.6022583,42.1744878
"182","Uxbridge , Massachusetts",-71.6302532,42.0772429
"183","Wales , Massachusetts",-72.2223007,42.0695393
"184","Ware , Massachusetts",-72.2398566,42.2598457
"185","Warren , Massachusetts",-72.191185,42.2125423
"186","Warwick , Massachusetts",-72.3389743,42.6820293
"187","Washington , Massachusetts",-73.116214,42.36592
"188","Webster , Massachusetts",-71.8800628,42.050091
"189","Wellfleet , Massachusetts",-70.0309753,41.9305468
"190","Wendell , Massachusetts",-72.396722,42.5481852
"191","Wenham , Massachusetts",-70.8911612,42.604261
"192","West Boylston , Massachusetts",-71.785627,42.3667589
"193","West Bridgewater , Massachusetts",-71.0078215,42.0189894
"194","West Brookfield , Massachusetts",-72.1411642,42.2353463
"195","West Newbury , Massachusetts",-70.989778,42.8014795
"196","West Springfield , Massachusetts",-72.6203675,42.1070383
"197","West Stockbridge , Massachusetts",-73.3677582,42.3338097
"198","West Tisbury , Massachusetts",-70.6744723,41.3812245
"199","Westborough , Massachusetts",-71.6161294,42.2695216
"200","Westhampton , Massachusetts",-72.7745382,42.3028667
"201","Westminster , Massachusetts",-71.9106308,42.5459227
"202","Westport , Massachusetts",-71.0735476,41.5700183
"203","Weymouth , Massachusetts",-70.9410356,42.2180724
"204","Wilbraham , Massachusetts",-72.431586,42.1237206
"205","Williamsburg , Massachusetts",-72.7300929,42.3928305
"206","Winchendon , Massachusetts",-72.0439529,42.6871009
"207","Windsor , Massachusetts",-73.0457124,42.5090217
"208","Winthrop , Massachusetts",-70.9811334,42.3778173
"209","Woburn , Massachusetts",-71.1522765,42.4792618
"210","Worthington , Massachusetts",-72.9356536,42.3973092
"211","Wrentham , Massachusetts",-71.3281114,42.0667652
