"","Name","Type","County","Form of government","Population","FormYear","T21Date","Year","FIPS","State","Smoking rank","Diet and Exercise Rank","Alcohol useRank","Unsafe Sex Rank","Access to Care Rank","Quality of care Rank","Education Rank","Employment Rank","Income Rank","Family and social support Rank","Community Rank","Air Quality Rank","Built Enviornment Rank","Mortality Rank","Morbidity Rank","Health Behaviors Rank","Clinical Care Rank","Social Economic factors Rank","Physical Enviornment Rank","T21year","Event"
"33","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2014,"25023","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,11,10,6,8,NA,"0"
"34","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2014,"25023","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,11,10,6,8,NA,"0"
"35","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2014,"25023","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,11,10,6,8,NA,"0"
"36","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2014,"25023","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,11,10,6,8,NA,"0"
"37","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2014,"25023","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,11,10,6,8,NA,"0"
"38","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2014,"25023","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,11,10,6,8,NA,"0"
"39","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2014,"25023","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,11,10,6,8,NA,"0"
"40","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2014,"25023","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,11,10,6,8,NA,"0"
"41","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2015,"25023","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9,11,8,6,9,NA,"0"
"42","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2015,"25023","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9,11,8,6,9,NA,"0"
"43","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2015,"25023","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9,11,8,6,9,NA,"0"
"44","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2015,"25023","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9,11,8,6,9,NA,"0"
"45","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2015,"25023","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9,11,8,6,9,NA,"0"
"46","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2015,"25023","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9,11,8,6,9,NA,"0"
"47","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2015,"25023","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9,11,8,6,9,NA,"0"
"48","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2015,"25023","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9,11,8,6,9,NA,"0"
"49","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2016,"25023","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,12,8,6,8,NA,"0"
"50","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2016,"25023","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,12,8,6,8,NA,"0"
"51","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2016,"25023","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,12,8,6,8,NA,"0"
"52","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2016,"25023","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,12,8,6,8,NA,"0"
"53","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2016,"25023","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,12,8,6,8,NA,"0"
"54","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2016,"25023","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,12,8,6,8,NA,"0"
"55","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2016,"25023","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,12,8,6,8,NA,"0"
"56","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2016,"25023","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,12,8,6,8,NA,"0"
"57","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2017,"25023","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8,12,8,6,11,NA,"0"
"58","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2017,"25023","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8,12,8,6,11,NA,"0"
"59","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2017,"25023","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8,12,8,6,11,NA,"0"
"60","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2017,"25023","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8,12,8,6,11,NA,"0"
"61","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2017,"25023","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8,12,8,6,11,NA,"0"
"62","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2017,"25023","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8,12,8,6,11,NA,"0"
"63","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2017,"25023","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8,12,8,6,11,NA,"0"
"64","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2017,"25023","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8,12,8,6,11,NA,"0"
"65","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2011,"25017","Massachusetts",1,7,2,4,6,8,2,4,3,4,3,5,5,2,5,2,6,3,4,2015,"0"
"66","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2011,"25017","Massachusetts",1,7,2,4,6,8,2,4,3,4,3,5,5,2,5,2,6,3,4,2015,"0"
"67","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2011,"25017","Massachusetts",1,7,2,4,6,8,2,4,3,4,3,5,5,2,5,2,6,3,4,2015,"0"
"68","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2011,"25017","Massachusetts",1,7,2,4,6,8,2,4,3,4,3,5,5,2,5,2,6,3,4,2015,"0"
"69","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2011,"25017","Massachusetts",1,7,2,4,6,8,2,4,3,4,3,5,5,2,5,2,6,3,4,2015,"0"
"70","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2011,"25017","Massachusetts",1,7,2,4,6,8,2,4,3,4,3,5,5,2,5,2,6,3,4,2015,"0"
"71","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2011,"25017","Massachusetts",1,7,2,4,6,8,2,4,3,4,3,5,5,2,5,2,6,3,4,2015,"0"
"72","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2011,"25017","Massachusetts",1,7,2,4,6,8,2,4,3,4,3,5,5,2,5,2,6,3,4,2015,"0"
"73","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2010,"25017","Massachusetts",2,6,2,3,6,9,2,3,4,3,2,7,3,3,5,3,6,2,3,2015,"0"
"74","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2010,"25017","Massachusetts",2,6,2,3,6,9,2,3,4,3,2,7,3,3,5,3,6,2,3,2015,"0"
"75","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2010,"25017","Massachusetts",2,6,2,3,6,9,2,3,4,3,2,7,3,3,5,3,6,2,3,2015,"0"
"76","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2010,"25017","Massachusetts",2,6,2,3,6,9,2,3,4,3,2,7,3,3,5,3,6,2,3,2015,"0"
"77","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2010,"25017","Massachusetts",2,6,2,3,6,9,2,3,4,3,2,7,3,3,5,3,6,2,3,2015,"0"
"78","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2010,"25017","Massachusetts",2,6,2,3,6,9,2,3,4,3,2,7,3,3,5,3,6,2,3,2015,"0"
"79","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2010,"25017","Massachusetts",2,6,2,3,6,9,2,3,4,3,2,7,3,3,5,3,6,2,3,2015,"0"
"80","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2010,"25017","Massachusetts",2,6,2,3,6,9,2,3,4,3,2,7,3,3,5,3,6,2,3,2015,"0"
"81","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2012,"25017","Massachusetts",1,8,2,4,3,6,2,2,2,3,4,5,4,1,6,3,5,2,4,2015,"0"
"82","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2012,"25017","Massachusetts",1,8,2,4,3,6,2,2,2,3,4,5,4,1,6,3,5,2,4,2015,"0"
"83","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2012,"25017","Massachusetts",1,8,2,4,3,6,2,2,2,3,4,5,4,1,6,3,5,2,4,2015,"0"
"84","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2012,"25017","Massachusetts",1,8,2,4,3,6,2,2,2,3,4,5,4,1,6,3,5,2,4,2015,"0"
"85","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2012,"25017","Massachusetts",1,8,2,4,3,6,2,2,2,3,4,5,4,1,6,3,5,2,4,2015,"0"
"86","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2012,"25017","Massachusetts",1,8,2,4,3,6,2,2,2,3,4,5,4,1,6,3,5,2,4,2015,"0"
"87","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2012,"25017","Massachusetts",1,8,2,4,3,6,2,2,2,3,4,5,4,1,6,3,5,2,4,2015,"0"
"88","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2012,"25017","Massachusetts",1,8,2,4,3,6,2,2,2,3,4,5,4,1,6,3,5,2,4,2015,"0"
"89","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2013,"25017","Massachusetts",1,8,1,4,2,7,2,1,2,2,4,4,5,2,4,3,5,2,2,2015,"0"
"90","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2013,"25017","Massachusetts",1,8,1,4,2,7,2,1,2,2,4,4,5,2,4,3,5,2,2,2015,"0"
"91","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2013,"25017","Massachusetts",1,8,1,4,2,7,2,1,2,2,4,4,5,2,4,3,5,2,2,2015,"0"
"92","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2013,"25017","Massachusetts",1,8,1,4,2,7,2,1,2,2,4,4,5,2,4,3,5,2,2,2015,"0"
"93","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2013,"25017","Massachusetts",1,8,1,4,2,7,2,1,2,2,4,4,5,2,4,3,5,2,2,2015,"0"
"94","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2013,"25017","Massachusetts",1,8,1,4,2,7,2,1,2,2,4,4,5,2,4,3,5,2,2,2015,"0"
"95","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2013,"25017","Massachusetts",1,8,1,4,2,7,2,1,2,2,4,4,5,2,4,3,5,2,2,2015,"0"
"96","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2013,"25017","Massachusetts",1,8,1,4,2,7,2,1,2,2,4,4,5,2,4,3,5,2,2,2015,"0"
"97","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2014,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,5,2,6,2015,"0"
"98","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2014,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,5,2,6,2015,"0"
"99","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2014,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,5,2,6,2015,"0"
"100","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2014,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,5,2,6,2015,"0"
"101","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2014,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,5,2,6,2015,"0"
"102","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2014,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,5,2,6,2015,"0"
"103","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2014,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,5,2,6,2015,"0"
"104","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2014,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,5,2,6,2015,"0"
"105","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2015,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,5,2,4,2015,"1"
"106","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2015,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,5,2,4,2015,"1"
"107","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2015,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,5,2,4,2015,"1"
"108","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2015,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,5,2,4,2015,"1"
"109","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2015,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,5,2,4,2015,"1"
"110","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2015,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,5,2,4,2015,"1"
"111","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2015,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,5,2,4,2015,"1"
"112","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2015,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,5,2,4,2015,"1"
"113","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2016,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,3,5,2,6,2015,"1"
"114","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2016,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,3,5,2,6,2015,"1"
"115","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2016,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,3,5,2,6,2015,"1"
"116","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2016,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,3,5,2,6,2015,"1"
"117","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2016,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,3,5,2,6,2015,"1"
"118","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2016,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,3,5,2,6,2015,"1"
"119","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2016,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,3,5,2,6,2015,"1"
"120","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2016,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,3,5,2,6,2015,"1"
"121","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2017,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,2,10,2015,"1"
"122","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2017,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,2,10,2015,"1"
"123","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2017,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,2,10,2015,"1"
"124","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2017,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,2,10,2015,"1"
"125","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2017,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,2,10,2015,"1"
"126","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2017,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,2,10,2015,"1"
"127","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2017,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,2,10,2015,"1"
"128","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2017,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,2,10,2015,"1"
"129","Acushnet","Town","Bristol","Open town meeting","10303.0",1860,NA,2011,"25005","Massachusetts",14,14,10,12,12,10,13,14,11,12,12,12,6,12,12,13,12,12,8,NA,"0"
"130","Acushnet","Town","Bristol","Open town meeting","10303.0",1860,NA,2011,"25005","Massachusetts",14,14,10,12,12,10,13,14,11,12,12,12,6,12,12,13,12,12,8,NA,"0"
"131","Acushnet","Town","Bristol","Open town meeting","10303.0",1860,NA,2011,"25005","Massachusetts",14,14,10,12,12,10,13,14,11,12,12,12,6,12,12,13,12,12,8,NA,"0"
"132","Acushnet","Town","Bristol","Open town meeting","10303.0",1860,NA,2011,"25005","Massachusetts",14,14,10,12,12,10,13,14,11,12,12,12,6,12,12,13,12,12,8,NA,"0"
"133","Acushnet","Town","Bristol","Open town meeting","10303.0",1860,NA,2011,"25005","Massachusetts",14,14,10,12,12,10,13,14,11,12,12,12,6,12,12,13,12,12,8,NA,"0"
"134","Acushnet","Town","Bristol","Open town meeting","10303.0",1860,NA,2011,"25005","Massachusetts",14,14,10,12,12,10,13,14,11,12,12,12,6,12,12,13,12,12,8,NA,"0"
