"","Year","Name","Event","Type","County","Formofgovernment","Population","FormYear","T21Date","FIPS","State","No_PrematureDeaths","YearsofPotentialLifeLostRate","Percent_FairOrPoor","PhysicallyUnhealthyDays","MentallyUnhealthyDays","PrecentLBW","PercentSmokers","PercentObese","FoodEnvironmentIndex","PercentPhysicallyInactive","PercentWithAccessToExercise","PercentExcessiveDrinking","NumberChlamydiaCases","ChlamydiaRate","TeenBirths","TeenBirthRate","PercentUninsured","NumberMedicareEnrollees","PercentDiabetics","PercentReceivingHbA1c","PercentUnemployed","PercentChildreninPoverty","PercentSingle-ParentHouseholds","NumberViolentCrimes","ViolentCrimeRate","T21year","MAYOR","LENGTHOFTERM","NEXTELECTION","mayor_ind","NearbyT21Ratio"
"239",2014,"Bourne","0","Town","Barnstable","Open town meeting",19754,1884,NA,"25001","Massachusetts",2391,5860.91,8.3,2.5,3.3,6.9,14.2,18,8.5642138397,17.5,74.798506633,17.9,436,202.1,695,16.863610997,5.9225914648,50311,3599,90.3584329,7.3777719178,15.4,30.479638502,1025,467.75601846,NA,NA,NA,NA,0,0
"240",2015,"Bourne","0","Town","Barnstable","Open town meeting",19754,1884,NA,"25001","Massachusetts",2465,5631.84,8.3,2.5,3.3,6.9521735624,14.2,18.3,8.3,17.3,90.215296821,17.9,441,204.7,661,16.412573869,4.8112670288,52218,3734,89.850026781,7.5928582683,14.9,33.652988403,972.66666667,448.38432591,NA,NA,NA,NA,0,0
"241",2016,"Bourne","0","Town","Barnstable","Open town meeting",19754,1884,NA,"25001","Massachusetts",2492,5708.9,9.2,2.9,3.6,6.8678113019,12.1,19.7,8,17.2,88.498202772,20.3,460,213.53337387,589,15.025510204,4.740021519,53328,3873,90.188484379,7.0085806573,13.4,33.315362352,972.66666667,448.38432591,NA,NA,NA,NA,0,0.5
"242",2017,"Bourne","0","Town","Barnstable","Open town meeting",19754,1884,NA,"25001","Massachusetts",2522,6219.1,10.321993839,3.2377777896,3.6318499821,6.9769457445,11.935867023,19.9,8,15.8,88.498202772,21.024641889,211,98.1,524,13.750754455,4.0791221446,54208,3907,89.787560788,6.297380807,11.5,31.212544365,926.33333333,428.25001541,NA,NA,NA,NA,0,0.5
"243",2011,"Boxborough","0","Town","Middlesex","Open town meeting",4996,1835,NA,"25017","Massachusetts",11206,4524.4,9.7,2.8,2.8,7.32,13.4,22.1,NA,NA,NA,18,NA,NA,4133,12.6,9.9,264855,4000,87.15,7.1,8.3,20.8,11031,249.1,NA,NA,NA,NA,0,0
"244",2012,"Boxborough","0","Town","Middlesex","Open town meeting",4996,1835,NA,"25017","Massachusetts",10885,4320.15,9.5,2.7,2.7,7.4,12.5,23.1,NA,21.1,NA,17.6,2562,172.8,4157,13,4.6,133633,10819,87.170718181,7,8.5,21.023875057,11724,263.87623475,NA,NA,NA,NA,0,0
"245",2013,"Boxborough","0","Town","Middlesex","Open town meeting",4996,1835,NA,"25017","Massachusetts",10899,4330.73,9.2,2.7,2.6,7.5,12.1,23.1,NA,21.1,NA,18,2778,184.8,4086,12.180943352,4.5,135688,11042,89.14145988,5.9,9.3,20.926310082,4242,284.102451,NA,NA,NA,NA,0,0
"246",2014,"Boxborough","0","Town","Middlesex","Open town meeting",4996,1835,NA,"25017","Massachusetts",10899,4330.73,8.9,2.7,2.7,7.5,11.4,23.3,9.1148955101,21.8,94.834556928,18.1,3396,223.7,3969,11.754914911,4.4632197847,142890,11733,89.59345436,5.3173677242,9.5,20.724166347,4122.6666667,277.72457169,NA,NA,NA,NA,0,0.2
"247",2015,"Boxborough","0","Town","Middlesex","Open town meeting",4996,1835,NA,"25017","Massachusetts",11119,4156.69,8.9,2.7,2.7,7.4975633918,11.4,23.1,8.9,20.8,96.407721453,18.1,3634,236.4,3825,11.243088807,4.0404229175,147540,12117,89.06495007,5.6376917719,10.6,21.029600706,3797.3333333,257.33734459,NA,NA,NA,NA,0,0.3
"248",2016,"Boxborough","0","Town","Middlesex","Open town meeting",4996,1835,NA,"25017","Massachusetts",11297,4107.7,11.4,3,3.4,7.512710677,12.2,22.6,8.7,21.3,96.575642761,20.3,3669,238.67838916,3542,10.355059859,3.9803209994,151812,12704,89.829974811,4.6490301066,9.6,21.023948082,3797.3333333,257.33734459,NA,NA,NA,NA,0,0.4
"249",2017,"Boxborough","0","Town","Middlesex","Open town meeting",4996,1835,NA,"25017","Massachusetts",11403,4120.7,10.851879904,2.7181453215,3.4476376243,7.4287095215,11.843819748,22.6,8.8,19.8,96.575642761,19.020107134,3714,239.2,3216,9.3492177007,3.1822290785,154845,12976,91.199136868,4.0494548609,8.2,20.658011904,3164,206.55078468,NA,NA,NA,NA,0,0.4
"250",2011,"Boxford","0","Town","Essex","Open town meeting",7965,1685,NA,"25009","Massachusetts",6527,5591,13.3,3.2,3.2,7.66,16.9,23.4,NA,NA,NA,19.2,NA,NA,4372,25.5,8.8,158426,2524,86.3708,9,11.8,30.2,8176,371.3,NA,NA,NA,NA,0,0
"251",2012,"Boxford","0","Town","Essex","Open town meeting",7965,1685,NA,"25009","Massachusetts",6421,5353.96,13.4,3.1,3.2,7.8,16.4,23.6,NA,22.3,NA,19.3,2256,306.3,4306,25.8,4.8,78396,6778,86.85452936,8.9,14.5,31.110802346,7925,357.03248117,NA,NA,NA,NA,0,0
"252",2013,"Boxford","0","Town","Essex","Open town meeting",7965,1685,NA,"25009","Massachusetts",6262,5062.28,13.3,3.1,3.1,7.7,15,23.6,NA,22.3,NA,19.3,2312,311.1,4299,24.172870606,5.5,79986,7037,88.887309933,7.8,16.9,31.600784286,2623,353.12398062,NA,NA,NA,NA,0,0
"253",2014,"Boxford","0","Town","Essex","Open town meeting",7965,1685,NA,"25009","Massachusetts",6262,5062.28,13,3,3.2,7.6,14.1,23.5,8.6893315931,21.6,91.987851859,19.4,2469,329.7,4156,23.260369502,5.4333729687,84440,7605,89.21761999,7.1352123652,17.1,31.958980369,2684.3333333,359.8075367,NA,NA,NA,NA,0,0
"254",2015,"Boxford","0","Town","Essex","Open town meeting",7965,1685,NA,"25009","Massachusetts",6450,5035.77,13,3,3.2,7.6378112138,14.1,24.2,8.5,20.3,96.711470897,19.4,2709,358.5,4009,22.401779178,4.8491653685,86259,7888,89.148073022,7.4639212686,16.9,33.364384595,2772,370.18571607,NA,NA,NA,NA,0,0.3
"255",2016,"Boxford","0","Town","Essex","Open town meeting",7965,1685,NA,"25009","Massachusetts",6582,5076.9,16.1,3.7,3.8,7.5831402481,14.8,24.3,8.5,20.6,96.724792406,20.4,2883,381.54199609,3758,21.030011696,4.7736040545,88608,8376,90.604106972,5.9682391661,15.5,33.949005748,2772,370.18571607,NA,NA,NA,NA,0,0.6
"256",2017,"Boxford","0","Town","Essex","Open town meeting",7965,1685,NA,"25009","Massachusetts",6885,5232.2,13.519249126,3.1882789865,3.9939707657,7.5189781901,14.623649328,25.5,8.6,20.5,96.724792406,19.052302415,2622,343.8,3438,19.291521943,3.9892544489,90769,8693,90.797193144,5.1584152071,16.6,34.150092026,2904,382.17465803,NA,NA,NA,NA,0,0.6
"257",2011,"Boylston","0","Town","Worcester","Open town meeting",4355,1785,NA,"25027","Massachusetts",7136,5900.4,12.8,3.5,3.5,7.26,20.1,24.3,NA,NA,NA,19.9,NA,NA,4589,24.3,8.5,102813,1669,85.7999,9.2,10.2,26.9,10257,434.6,NA,NA,NA,NA,0,0
"258",2012,"Boylston","0","Town","Worcester","Open town meeting",4355,1785,NA,"25027","Massachusetts",7136,5733.56,12.5,3.4,3.5,7.3,19.7,25.5,NA,23,NA,20.1,1901,242.5,4480,24.1,4.6,52950,4990,84.96993988,9.3,14,27.250408292,10307,438.41832518,NA,NA,NA,NA,0,0
"259",2013,"Boylston","0","Town","Worcester","Open town meeting",4355,1785,NA,"25027","Massachusetts",7215,5573.47,12.7,3.4,3.5,7.4,19.1,25.5,NA,23,NA,20.6,2164,271,4377,21.899453639,4.8,54228,5261,87.56890325,8.1,16.2,28.044191042,3544,451.05153457,NA,NA,NA,NA,0,0
"260",2014,"Boylston","0","Town","Worcester","Open town meeting",4355,1785,NA,"25027","Massachusetts",7215,5573.47,11.9,3.3,3.4,7.4,18.1,25.6,8.6497819162,23.3,87.529303038,21.2,2310,288.3,4271,21.259544645,4.5474205696,56493,5542,86.95416817,7.5072096261,15.1,28.271964508,3578,452.62797472,NA,NA,NA,NA,0,0.1
"261",2015,"Boylston","0","Town","Worcester","Open town meeting",4355,1785,NA,"25027","Massachusetts",7334,5555.56,11.9,3.3,3.4,7.3879568093,18.1,26,8.4,22.2,92.920185536,21.2,2320,287.8,4109,20.385483591,4.6573703414,59744,6002,88.837054315,7.9005526235,18,29.159634762,3556.6666667,447.12149301,NA,NA,NA,NA,0,0.3
"262",2016,"Boylston","0","Town","Worcester","Open town meeting",4355,1785,NA,"25027","Massachusetts",7506,5519.4,12.2,3.1,3.6,7.4786324786,15.8,26.1,8.2,22.6,91.200197357,19.3,2241,277.98348473,3837,19.079964794,4.1687247302,62144,6350,88.992125984,6.1922313848,15,29.380101871,3556.6666667,447.12149301,NA,NA,NA,NA,0,0.3
"263",2017,"Boylston","0","Town","Worcester","Open town meeting",4355,1785,NA,"25027","Massachusetts",7872,5700.3,13.87208061,3.5785862145,3.951719279,7.4853725762,17.156909936,27,8.3,20.8,91.200197357,20.689806914,1709,211.2,3496,17.4595723,3.5293059096,66314,6869,89.634590188,5.2933292577,15.2,30.636828229,3492.6666667,435.18132417,NA,NA,NA,NA,0,0.3
"264",2011,"Braintree","0","City","Norfolk","Mayor-council",35744,1640,"2014-10-01","25021","Massachusetts",5509,4814.5,9.2,2.9,2.8,7.06,13.6,19.4,NA,NA,NA,19.1,NA,NA,1135,8,8.5,141374,2055,84.4769,7.6,6,18.3,3689,187.4,2014,"Joseph Sullivan","4 years","Nov. 5, 2019",1,0
"265",2012,"Braintree","0","City","Norfolk","Mayor-council",35744,1640,"2014-10-01","25021","Massachusetts",5404,4670.49,9,2.9,2.7,7.2,12.9,20.2,NA,19.9,NA,19.1,991,150.2,1119,8,3.3,71914,5493,86.710358638,7.6,6.8,18.510114708,3855,198.65952489,2014,"Joseph Sullivan","4 years","Nov. 5, 2019",1,0
"266",2013,"Braintree","0","City","Norfolk","Mayor-council",35744,1640,"2014-10-01","25021","Massachusetts",5205,4535.71,9,2.9,2.8,7.2,12.6,20.2,NA,19.9,NA,19.2,1059,157.9,1051,7.128710185,3.6,73125,5684,88.142153413,6.2,6.7,18.512395597,1373,211.44871624,2014,"Joseph Sullivan","4 years","Nov. 5, 2019",1,0
"267",2014,"Braintree","1","City","Norfolk","Mayor-council",35744,1640,"2014-10-01","25021","Massachusetts",5205,4535.71,8.9,2.8,2.7,7.3,11.8,19.8,9.1574897929,20.1,91.132891108,19.4,1347,199.4,998,6.7164229327,3.1408700473,76531,6046,89.33178961,5.60043183,8,18.520170417,1403.3333333,213.27383956,2014,"Joseph Sullivan","4 years","Nov. 5, 2019",1,0.1
"268",2011,"Brewster","0","Town","Barnstable","Open town meeting",9820,1803,"2015-09-01","25001","Massachusetts",2473,5973.6,9,2.7,3.2,6.66,15.5,19.3,NA,NA,NA,19.4,NA,NA,749,17.6,9.4,95905,1280,85.9375,8.7,11.3,26.4,2993,448.6,2015,NA,NA,NA,0,0
"269",2012,"Brewster","0","Town","Barnstable","Open town meeting",9820,1803,"2015-09-01","25001","Massachusetts",2412,5814.19,8.5,2.6,3.2,6.7,14.6,18.2,NA,18.3,NA,18.9,352,159.2,746,18,4.9,48500,3460,88.728323699,9.2,15.7,27.641280842,3025,449.5273647,2015,NA,NA,NA,0,0
"270",2013,"Brewster","0","Town","Barnstable","Open town meeting",9820,1803,"2015-09-01","25001","Massachusetts",2391,5860.91,8.8,2.6,3.3,7.1,14.5,18.2,NA,18.3,NA,18,363,168.1,732,17.441029307,6,49010,3551,89.63672205,8.2,15.2,29.699951864,1030,465.86706134,2015,NA,NA,NA,0,0
"271",2014,"Brewster","0","Town","Barnstable","Open town meeting",9820,1803,"2015-09-01","25001","Massachusetts",2391,5860.91,8.3,2.5,3.3,6.9,14.2,18,8.5642138397,17.5,74.798506633,17.9,436,202.1,695,16.863610997,5.9225914648,50311,3599,90.3584329,7.3777719178,15.4,30.479638502,1025,467.75601846,2015,NA,NA,NA,0,0.1
"272",2015,"Brewster","1","Town","Barnstable","Open town meeting",9820,1803,"2015-09-01","25001","Massachusetts",2465,5631.84,8.3,2.5,3.3,6.9521735624,14.2,18.3,8.3,17.3,90.215296821,17.9,441,204.7,661,16.412573869,4.8112670288,52218,3734,89.850026781,7.5928582683,14.9,33.652988403,972.66666667,448.38432591,2015,NA,NA,NA,0,0.2
"273",2011,"Bridgewater","0","City","Plymouth","Council-manager",26563,1656,"2015-01-01","25023","Massachusetts",4693,5872.2,10.6,3.1,3.6,7.76,20.9,22.1,NA,NA,NA,20.7,NA,NA,2194,18.9,8.3,100457,1769,86.32,8.8,8.3,24.1,6299,427.6,2015,NA,NA,NA,0,0
"274",2012,"Bridgewater","0","City","Plymouth","Council-manager",26563,1656,"2015-01-01","25023","Massachusetts",4692,5675.99,10.2,3,3.6,7.8,19.9,23.1,NA,21,NA,21.1,1160,235.7,2213,19.5,4.4,53185,5117,86.456908345,9.1,10.9,24.728756039,6280,434.73023881,2015,NA,NA,NA,0,0
"275",2013,"Bridgewater","0","City","Plymouth","Council-manager",26563,1656,"2015-01-01","25023","Massachusetts",4854,5721.45,11,3.2,3.8,7.7,19.1,23.1,NA,21,NA,20.8,1414,285.7,2102,17.698071904,4.7,54940,5350,88.448598131,7.8,10.8,24.961102093,2179,443.299018,2015,NA,NA,NA,0,0
"276",2014,"Bridgewater","0","City","Plymouth","Council-manager",26563,1656,"2015-01-01","25023","Massachusetts",4854,5721.45,11,3.1,3.6,7.7,17.8,24.7,8.7645680153,23.1,80.249697425,21.1,1398,281,2017,16.970257877,4.2883817477,58071,5871,88.62204054,6.9141127507,10.7,25.479554282,2161.3333333,447.83954028,2015,NA,NA,NA,0,0
"277",2015,"Bridgewater","1","City","Plymouth","Council-manager",26563,1656,"2015-01-01","25023","Massachusetts",4881,5465.93,11,3.1,3.6,7.4893572292,17.8,25.8,8.6,23.9,87.434307432,21.1,1502,300.5,1935,16.304485208,3.8936488901,61488,6281,89.87422385,7.1697401667,11.2,25.177076626,2023.6666667,431.83009609,2015,NA,NA,NA,0,0
"278",2011,"Brimfield","0","Town","Hampden","Open town meeting",3609,1731,"2014-09-01","25013","Massachusetts",5008,7182.5,15.1,3.8,3.9,8.62,20.3,27.4,NA,NA,NA,18.7,NA,NA,5350,45.1,8.4,93531,1810,85.0276,9.7,23.8,41.7,10420,752,2014,NA,NA,NA,0,0
"279",2012,"Brimfield","0","Town","Hampden","Open town meeting",3609,1731,"2014-09-01","25013","Massachusetts",4881,6973.49,15.3,3.8,3.8,8.7,19.3,28.5,NA,26.4,NA,18.7,2385,517.5,5288,45.9,5.2,46476,4991,85.694249649,10.2,25.5,43.377030649,9590,701.50798615,2014,NA,NA,NA,0,0
"280",2013,"Brimfield","0","Town","Hampden","Open town meeting",3609,1731,"2014-09-01","25013","Massachusetts",4886,6847.84,15.1,3.7,3.8,8.7,18.6,28.5,NA,26.4,NA,19.3,2809,606.1,5200,41.644976575,6.3,46827,5148,87.043512044,9.2,25.4,44.048002503,3184,697.37338752,2014,NA,NA,NA,0,0
"281",2014,"Brimfield","1","Town","Hampden","Open town meeting",3609,1731,"2014-09-01","25013","Massachusetts",4886,6847.84,15,3.8,3.9,8.6,18.8,29.2,8.0488191963,26.8,88.188310427,19.4,2833,610.8,5085,40.707355343,5.667968043,46760,5227,89.17160895,8.5248841592,30.5,45.425212328,3073.6666667,670.45873454,2014,NA,NA,NA,0,0
"282",2011,"Brockton","0","City","Plymouth","Mayor-council",93810,1821,"2016-09-30","25023","Massachusetts",4693,5872.2,10.6,3.1,3.6,7.76,20.9,22.1,NA,NA,NA,20.7,NA,NA,2194,18.9,8.3,100457,1769,86.32,8.8,8.3,24.1,6299,427.6,2016,"Bill Carpenter","2 years","Nov. 7, 2017",1,0
"283",2012,"Brockton","0","City","Plymouth","Mayor-council",93810,1821,"2016-09-30","25023","Massachusetts",4692,5675.99,10.2,3,3.6,7.8,19.9,23.1,NA,21,NA,21.1,1160,235.7,2213,19.5,4.4,53185,5117,86.456908345,9.1,10.9,24.728756039,6280,434.73023881,2016,"Bill Carpenter","2 years","Nov. 7, 2017",1,0
"284",2013,"Brockton","0","City","Plymouth","Mayor-council",93810,1821,"2016-09-30","25023","Massachusetts",4854,5721.45,11,3.2,3.8,7.7,19.1,23.1,NA,21,NA,20.8,1414,285.7,2102,17.698071904,4.7,54940,5350,88.448598131,7.8,10.8,24.961102093,2179,443.299018,2016,"Bill Carpenter","2 years","Nov. 7, 2017",1,0
"285",2014,"Brockton","0","City","Plymouth","Mayor-council",93810,1821,"2016-09-30","25023","Massachusetts",4854,5721.45,11,3.1,3.6,7.7,17.8,24.7,8.7645680153,23.1,80.249697425,21.1,1398,281,2017,16.970257877,4.2883817477,58071,5871,88.62204054,6.9141127507,10.7,25.479554282,2161.3333333,447.83954028,2016,"Bill Carpenter","2 years","Nov. 7, 2017",1,0
"286",2015,"Brockton","0","City","Plymouth","Mayor-council",93810,1821,"2016-09-30","25023","Massachusetts",4881,5465.93,11,3.1,3.6,7.4893572292,17.8,25.8,8.6,23.9,87.434307432,21.1,1502,300.5,1935,16.304485208,3.8936488901,61488,6281,89.87422385,7.1697401667,11.2,25.177076626,2023.6666667,431.83009609,2016,"Bill Carpenter","2 years","Nov. 7, 2017",1,0.1
"287",2016,"Brockton","1","City","Plymouth","Mayor-council",93810,1821,"2016-09-30","25023","Massachusetts",4926,5551.6,13.3,3.3,4.2,7.3034462381,17.2,26.4,8.3,24.7,85.824549068,20.5,1490,298.14370527,1794,15.186401652,4.0607678789,64212,6734,90.406890407,6.0337647721,11.5,26.407406765,2023.6666667,431.83009609,2016,"Bill Carpenter","2 years","Nov. 7, 2017",1,0.5
"288",2011,"Brookfield","0","Town","Worcester","Open town meeting",3390,1718,NA,"25027","Massachusetts",7136,5900.4,12.8,3.5,3.5,7.26,20.1,24.3,NA,NA,NA,19.9,NA,NA,4589,24.3,8.5,102813,1669,85.7999,9.2,10.2,26.9,10257,434.6,NA,NA,NA,NA,0,0
"289",2012,"Brookfield","0","Town","Worcester","Open town meeting",3390,1718,NA,"25027","Massachusetts",7136,5733.56,12.5,3.4,3.5,7.3,19.7,25.5,NA,23,NA,20.1,1901,242.5,4480,24.1,4.6,52950,4990,84.96993988,9.3,14,27.250408292,10307,438.41832518,NA,NA,NA,NA,0,0
"290",2013,"Brookfield","0","Town","Worcester","Open town meeting",3390,1718,NA,"25027","Massachusetts",7215,5573.47,12.7,3.4,3.5,7.4,19.1,25.5,NA,23,NA,20.6,2164,271,4377,21.899453639,4.8,54228,5261,87.56890325,8.1,16.2,28.044191042,3544,451.05153457,NA,NA,NA,NA,0,0
"291",2014,"Brookfield","0","Town","Worcester","Open town meeting",3390,1718,NA,"25027","Massachusetts",7215,5573.47,11.9,3.3,3.4,7.4,18.1,25.6,8.6497819162,23.3,87.529303038,21.2,2310,288.3,4271,21.259544645,4.5474205696,56493,5542,86.95416817,7.5072096261,15.1,28.271964508,3578,452.62797472,NA,NA,NA,NA,0,0.1
"292",2015,"Brookfield","0","Town","Worcester","Open town meeting",3390,1718,NA,"25027","Massachusetts",7334,5555.56,11.9,3.3,3.4,7.3879568093,18.1,26,8.4,22.2,92.920185536,21.2,2320,287.8,4109,20.385483591,4.6573703414,59744,6002,88.837054315,7.9005526235,18,29.159634762,3556.6666667,447.12149301,NA,NA,NA,NA,0,0.1
"293",2016,"Brookfield","0","Town","Worcester","Open town meeting",3390,1718,NA,"25027","Massachusetts",7506,5519.4,12.2,3.1,3.6,7.4786324786,15.8,26.1,8.2,22.6,91.200197357,19.3,2241,277.98348473,3837,19.079964794,4.1687247302,62144,6350,88.992125984,6.1922313848,15,29.380101871,3556.6666667,447.12149301,NA,NA,NA,NA,0,0.1
"294",2017,"Brookfield","0","Town","Worcester","Open town meeting",3390,1718,NA,"25027","Massachusetts",7872,5700.3,13.87208061,3.5785862145,3.951719279,7.4853725762,17.156909936,27,8.3,20.8,91.200197357,20.689806914,1709,211.2,3496,17.4595723,3.5293059096,66314,6869,89.634590188,5.2933292577,15.2,30.636828229,3492.6666667,435.18132417,NA,NA,NA,NA,0,0.1
"295",2011,"Brookline","0","Town","Norfolk","Representative town meeting",58732,1705,"2015-06-01","25021","Massachusetts",5509,4814.5,9.2,2.9,2.8,7.06,13.6,19.4,NA,NA,NA,19.1,NA,NA,1135,8,8.5,141374,2055,84.4769,7.6,6,18.3,3689,187.4,2015,NA,NA,NA,0,0
"296",2012,"Brookline","0","Town","Norfolk","Representative town meeting",58732,1705,"2015-06-01","25021","Massachusetts",5404,4670.49,9,2.9,2.7,7.2,12.9,20.2,NA,19.9,NA,19.1,991,150.2,1119,8,3.3,71914,5493,86.710358638,7.6,6.8,18.510114708,3855,198.65952489,2015,NA,NA,NA,0,0
"297",2013,"Brookline","0","Town","Norfolk","Representative town meeting",58732,1705,"2015-06-01","25021","Massachusetts",5205,4535.71,9,2.9,2.8,7.2,12.6,20.2,NA,19.9,NA,19.2,1059,157.9,1051,7.128710185,3.6,73125,5684,88.142153413,6.2,6.7,18.512395597,1373,211.44871624,2015,NA,NA,NA,0,0
"298",2014,"Brookline","0","Town","Norfolk","Representative town meeting",58732,1705,"2015-06-01","25021","Massachusetts",5205,4535.71,8.9,2.8,2.7,7.3,11.8,19.8,9.1574897929,20.1,91.132891108,19.4,1347,199.4,998,6.7164229327,3.1408700473,76531,6046,89.33178961,5.60043183,8,18.520170417,1403.3333333,213.27383956,2015,NA,NA,NA,0,0.1
"299",2015,"Brookline","1","Town","Norfolk","Representative town meeting",58732,1705,"2015-06-01","25021","Massachusetts",5294,4367.63,8.9,2.8,2.7,7.3214631314,11.8,20.2,8.9,18.8,95.675635388,19.4,1484,217.6,917,6.1186769779,2.9359222889,79617,6188,90.303813833,6.0056451921,7.5,18.506847494,1356.3333333,203.20868968,2015,NA,NA,NA,0,0.6
"300",2011,"Buckland","0","Town","Franklin","Open town meeting",1902,1779,"2015-11-15","25011","Massachusetts",708,5297.1,11.7,3.8,3.5,6.83,17.9,23.5,NA,NA,NA,17.9,NA,NA,351,21.3,9.3,14759,241,87.9668,7.9,15.8,33,774,359.7,2015,NA,NA,NA,0,0
"301",2012,"Buckland","0","Town","Franklin","Open town meeting",1902,1779,"2015-11-15","25011","Massachusetts",715,5245.39,11.9,3.9,3.5,7,18.5,24.6,NA,19.4,NA,19.3,98,136.6,342,21.9,4.4,7679,720,87.916666667,8,16.2,32.153351056,749,364.48930134,2015,NA,NA,NA,0,0
"302",2013,"Buckland","0","Town","Franklin","Open town meeting",1902,1779,"2015-11-15","25011","Massachusetts",694,5298.65,11.1,3.6,3.3,7.1,19,24.6,NA,19.4,NA,18.7,131,183.5,325,20.256793817,4.7,7736,731,89.876880985,6.7,16.6,32.858472332,246,357.66243433,2015,NA,NA,NA,0,0
"303",2014,"Buckland","0","Town","Franklin","Open town meeting",1902,1779,"2015-11-15","25011","Massachusetts",694,5298.65,10.3,4,3.3,7,18.7,24.9,8.7478858778,19.1,60.170655159,18.2,110,153.6,311,19.889997442,5.104203167,8056,744,89.91935484,6.2678729267,16.6,31.830103453,247.66666667,371.87187187,2015,NA,NA,NA,0,0
"304",2015,"Buckland","1","Town","Franklin","Open town meeting",1902,1779,"2015-11-15","25011","Massachusetts",696,5159.43,10.3,4,3.3,6.8550153307,18.7,22.1,8.4,18.1,79.980944908,18.2,110,153.8,318,21.013678715,4.1359735081,8510,769,90.117035111,6.5816633136,17.7,33.042126305,245,378.5518204,2015,NA,NA,NA,0,0.2
"305",2011,"Burlington","0","Town","Middlesex","Representative town meeting",24498,1799,NA,"25017","Massachusetts",11206,4524.4,9.7,2.8,2.8,7.32,13.4,22.1,NA,NA,NA,18,NA,NA,4133,12.6,9.9,264855,4000,87.15,7.1,8.3,20.8,11031,249.1,NA,NA,NA,NA,0,0
"306",2012,"Burlington","0","Town","Middlesex","Representative town meeting",24498,1799,NA,"25017","Massachusetts",10885,4320.15,9.5,2.7,2.7,7.4,12.5,23.1,NA,21.1,NA,17.6,2562,172.8,4157,13,4.6,133633,10819,87.170718181,7,8.5,21.023875057,11724,263.87623475,NA,NA,NA,NA,0,0
"307",2013,"Burlington","0","Town","Middlesex","Representative town meeting",24498,1799,NA,"25017","Massachusetts",10899,4330.73,9.2,2.7,2.6,7.5,12.1,23.1,NA,21.1,NA,18,2778,184.8,4086,12.180943352,4.5,135688,11042,89.14145988,5.9,9.3,20.926310082,4242,284.102451,NA,NA,NA,NA,0,0
"308",2014,"Burlington","0","Town","Middlesex","Representative town meeting",24498,1799,NA,"25017","Massachusetts",10899,4330.73,8.9,2.7,2.7,7.5,11.4,23.3,9.1148955101,21.8,94.834556928,18.1,3396,223.7,3969,11.754914911,4.4632197847,142890,11733,89.59345436,5.3173677242,9.5,20.724166347,4122.6666667,277.72457169,NA,NA,NA,NA,0,0.4
"309",2015,"Burlington","0","Town","Middlesex","Representative town meeting",24498,1799,NA,"25017","Massachusetts",11119,4156.69,8.9,2.7,2.7,7.4975633918,11.4,23.1,8.9,20.8,96.407721453,18.1,3634,236.4,3825,11.243088807,4.0404229175,147540,12117,89.06495007,5.6376917719,10.6,21.029600706,3797.3333333,257.33734459,NA,NA,NA,NA,0,0.7
"310",2016,"Burlington","0","Town","Middlesex","Representative town meeting",24498,1799,NA,"25017","Massachusetts",11297,4107.7,11.4,3,3.4,7.512710677,12.2,22.6,8.7,21.3,96.575642761,20.3,3669,238.67838916,3542,10.355059859,3.9803209994,151812,12704,89.829974811,4.6490301066,9.6,21.023948082,3797.3333333,257.33734459,NA,NA,NA,NA,0,0.7
"311",2017,"Burlington","0","Town","Middlesex","Representative town meeting",24498,1799,NA,"25017","Massachusetts",11403,4120.7,10.851879904,2.7181453215,3.4476376243,7.4287095215,11.843819748,22.6,8.8,19.8,96.575642761,19.020107134,3714,239.2,3216,9.3492177007,3.1822290785,154845,12976,91.199136868,4.0494548609,8.2,20.658011904,3164,206.55078468,NA,NA,NA,NA,0,0.7
"312",2011,"Cambridge","0","City","Middlesex","Mayor-manager-council",NA,1636,"2015-06-01","25017","Massachusetts",11206,4524.4,9.7,2.8,2.8,7.32,13.4,22.1,NA,NA,NA,18,NA,NA,4133,12.6,9.9,264855,4000,87.15,7.1,8.3,20.8,11031,249.1,2015,"E. Denise Simmons","2 years","January 2018*",1,0
"313",2012,"Cambridge","0","City","Middlesex","Mayor-manager-council",NA,1636,"2015-06-01","25017","Massachusetts",10885,4320.15,9.5,2.7,2.7,7.4,12.5,23.1,NA,21.1,NA,17.6,2562,172.8,4157,13,4.6,133633,10819,87.170718181,7,8.5,21.023875057,11724,263.87623475,2015,"E. Denise Simmons","2 years","January 2018*",1,0
"314",2013,"Cambridge","0","City","Middlesex","Mayor-manager-council",NA,1636,"2015-06-01","25017","Massachusetts",10899,4330.73,9.2,2.7,2.6,7.5,12.1,23.1,NA,21.1,NA,18,2778,184.8,4086,12.180943352,4.5,135688,11042,89.14145988,5.9,9.3,20.926310082,4242,284.102451,2015,"E. Denise Simmons","2 years","January 2018*",1,0
"315",2014,"Cambridge","0","City","Middlesex","Mayor-manager-council",NA,1636,"2015-06-01","25017","Massachusetts",10899,4330.73,8.9,2.7,2.7,7.5,11.4,23.3,9.1148955101,21.8,94.834556928,18.1,3396,223.7,3969,11.754914911,4.4632197847,142890,11733,89.59345436,5.3173677242,9.5,20.724166347,4122.6666667,277.72457169,2015,"E. Denise Simmons","2 years","January 2018*",1,0
