"","Year","Name","Event","Type","County","Formofgovernment","Population","FormYear","T21Date","FIPS","State","No_PrematureDeaths","YearsofPotentialLifeLostRate","Percent_FairOrPoor","PhysicallyUnhealthyDays","MentallyUnhealthyDays","PrecentLBW","PercentSmokers","PercentObese","FoodEnvironmentIndex","PercentPhysicallyInactive","PercentWithAccessToExercise","PercentExcessiveDrinking","NumberChlamydiaCases","ChlamydiaRate","TeenBirths","TeenBirthRate","PercentUninsured","NumberMedicareEnrollees","PercentDiabetics","PercentReceivingHbA1c","PercentUnemployed","PercentChildreninPoverty","PercentSingle-ParentHouseholds","NumberViolentCrimes","ViolentCrimeRate","T21year","MAYOR","LENGTHOFTERM","NEXTELECTION","mayor_ind","NearbyT21Ratio"
"17",2015,"Acushnet","0","Town","Bristol","Open town meeting",10303,1860,NA,"25005","Massachusetts",5630,6029.99,15.2,3.7,3.8,8.1907663464,20.3,28.6,8,26.4,95.487383386,20.4,1628,295.4,3213,24.234058922,5.0705845309,65614,8175,90.311926606,9.7096201195,19.2,34.224549489,3063.3333333,555.71748025,NA,NA,NA,NA,0,0
"18",2016,"Acushnet","0","Town","Bristol","Open town meeting",10303,1860,NA,"25005","Massachusetts",5935,6197.2,15.3,4,4.6,8.0999424516,18.6,28.2,7.8,26.6,95.07154126,20.3,1519,275.63955999,3013,22.912896014,4.7885336389,66664,8588,91.336748952,7.3397988357,17.4,34.524557323,3063.3333333,555.71748025,NA,NA,NA,NA,0,0.2
"19",2017,"Acushnet","0","Town","Bristol","Open town meeting",10303,1860,NA,"25005","Massachusetts",6139,6409.8,15.755457609,4.2965625531,4.5390659675,8.1037475249,17.31210397,28.3,8,25.1,95.07154126,17.664877204,1352,244.6,2732,20.984231103,4.3037425468,67712,8844,90.682948892,6.2986440419,17.3,34.45954626,2872,518.29928535,NA,NA,NA,NA,0,0.2
"20",2011,"Adams","0","Town","Berkshire","Representative town meeting",8485,1778,"2016-10-31","25003","Massachusetts",1458,5881.7,13.4,4,3.6,7.86,19.7,23.2,NA,NA,NA,18.9,NA,NA,837,25.2,8.4,44684,736,92.1196,8.1,15.2,35.8,1590,408.1,2016,NA,NA,NA,0,0
"21",2012,"Adams","0","Town","Berkshire","Representative town meeting",8485,1778,"2016-10-31","25003","Massachusetts",1484,6122.18,13.2,3.9,3.5,8,19.4,24,NA,22.5,NA,19.5,311,240.3,849,26.6,4.7,22591,2016,90.972222222,8.2,18.7,34.903381643,1556,415.97938282,2016,NA,NA,NA,0,0
"22",2013,"Adams","0","Town","Berkshire","Representative town meeting",8485,1778,"2016-10-31","25003","Massachusetts",1406,5915.12,12.9,3.8,3.4,7.9,17.5,24,NA,22.5,NA,20.8,370,282,817,24.426704936,5.1,22812,2034,91.445427729,7.3,20.2,34.510376391,536,425.87994897,2016,NA,NA,NA,0,0
"23",2014,"Adams","0","Town","Berkshire","Representative town meeting",8485,1778,"2016-10-31","25003","Massachusetts",1406,5915.12,12.1,3.7,3.6,8.1,17,22,8.5769018924,20.7,74.91826641,21.3,359,275.2,781,23.546792089,4.7540110118,22821,2046,91.54447703,6.7247420809,21.1,35.096581266,543,429.3927085,2016,NA,NA,NA,0,0
"24",2015,"Adams","0","Town","Berkshire","Representative town meeting",8485,1778,"2016-10-31","25003","Massachusetts",1390,5772.84,12.1,3.7,3.6,8.0317422147,17,22.5,8.2,18.8,88.709714294,21.3,337,259.2,714,21.780909673,4.4013080916,23505,2127,91.396332863,7.0745401196,18.8,34.996486297,506.33333333,402.71267683,2016,NA,NA,NA,0,0.1
"25",2016,"Adams","1","Town","Berkshire","Representative town meeting",8485,1778,"2016-10-31","25003","Massachusetts",1476,6177.6,12.7,3.4,4.1,7.8986220472,15.1,22.9,7.9,19.8,78.98094026,18.4,416,319.96062023,672,20.833333333,4.2055697021,23830,2178,91.414141414,6.4885958013,20.4,35.501733029,506.33333333,402.71267683,2016,NA,NA,NA,0,0.2
"26",2011,"Agawam","0","City","Hampden","Mayor-council",28438,1855,NA,"25013","Massachusetts",5008,7182.5,15.1,3.8,3.9,8.62,20.3,27.4,NA,NA,NA,18.7,NA,NA,5350,45.1,8.4,93531,1810,85.0276,9.7,23.8,41.7,10420,752,NA,"Richard Cohen","2 years","Nov. 7, 2017",1,0
