"","year","TownName","Event","Sub"
"199",2016,"Pittsfield",1,1
"200",2016,"Plainville",1,1
"201",2016,"Provincetown",1,1
"202",2016,"Randolph",1,1
"203",2016,"Reading",0,1
"204",2016,"Rockport",1,1
"205",2016,"Salem",0,1
"206",2016,"Saugus",0,1
"207",2016,"Scituate",0,1
"208",2016,"Sharon",0,1
"209",2016,"Shelburne",0,1
"210",2016,"Sherborn",0,1
"211",2016,"Somerville",1,1
"212",2016,"South Hadley",0,1
"213",2016,"Southampton",1,1
"214",2016,"Southborough",0,1
"215",2016,"Southwick",1,1
"216",2016,"Stockbridge",1,1
"217",2016,"Stoneham",0,1
"218",2016,"Stoughton",1,1
"219",2016,"Sunderland",1,1
"220",2016,"Swampscott",1,1
"221",2016,"Tewksbury",1,1
"222",2016,"Topsfield",1,1
"223",2016,"Townsend",1,1
"224",2016,"Tyngsborough",1,1
"225",2016,"Wakefield",0,1
"226",2016,"Walpole",0,1
"227",2016,"Waltham",0,1
"228",2016,"Wareham",1,1
"229",2016,"Watertown",1,1
"230",2016,"Wayland",0,1
"231",2016,"Wellesley",0,1
"232",2016,"Westfield",1,1
"233",2016,"Westford",0,1
"234",2016,"Weston",1,1
"235",2016,"Westwood",0,1
"236",2016,"Whately",1,1
"237",2016,"Whitman",1,1
"238",2016,"Williamstown",0,1
"239",2016,"Wilmington",0,1
"240",2016,"Winchester",0,1
"241",2016,"Worcester",1,1
"242",2016,"Yarmouth",0,1
"243",2017,"Acton",0,1
"244",2017,"Adams",0,1
"245",2017,"Amherst",0,1
"246",2017,"Andover",0,1
"247",2017,"Arlington",0,1
"248",2017,"Ashland",0,1
"249",2017,"Attleboro",0,1
"250",2017,"Belchertown",1,1
"251",2017,"Belmont",0,1
"252",2017,"Blackstone",0,1
"253",2017,"Boston",0,1
"254",2017,"Braintree",0,1
"255",2017,"Brewster",0,1
"256",2017,"Bridgewater",0,1
"257",2017,"Brimfield",0,1
"258",2017,"Brockton",0,1
"259",2017,"Brookline",0,1
"260",2017,"Buckland",0,1
"261",2017,"Cambridge",0,1
"262",2017,"Canton",0,1
"263",2017,"Carver",0,1
"264",2017,"Charlemont",0,1
"265",2017,"Chelmsford",0,1
"266",2017,"Chelsea",0,1
"267",2017,"Cohasset",0,1
"268",2017,"Concord",0,1
"269",2017,"Danvers",0,1
"270",2017,"Dedham",0,1
"271",2017,"Deerfield",1,1
"272",2017,"Dover",0,1
"273",2017,"Duxbury",0,1
"274",2017,"Eastham",0,1
"275",2017,"Easton",0,1
"276",2017,"Egremont",0,1
"277",2017,"Essex",0,1
"278",2017,"Falmouth",0,1
"279",2017,"Foxborough",0,1
"280",2017,"Framingham",0,1
"281",2017,"Franklin",0,1
"282",2017,"Gill",0,1
"283",2017,"Gloucester",0,1
"284",2017,"Grafton",0,1
"285",2017,"Great Barrington",0,1
"286",2017,"Greenfield",0,1
"287",2017,"Hadley",0,1
"288",2017,"Halifax",0,1
"289",2017,"Hamilton",0,1
"290",2017,"Hanover",0,1
"291",2017,"Hatfield",0,1
"292",2017,"Holbrook",0,1
"293",2017,"Holyoke",0,1
"294",2017,"Hopedale",0,1
"295",2017,"Hudson",0,1
"296",2017,"Hull",0,1
"297",2017,"Kingston",0,1
"298",2017,"Lawrence",0,1
"299",2017,"Lee",0,1
"300",2017,"Lenox",0,1
"301",2017,"Leverett",0,1
"302",2017,"Lexington",0,1
"303",2017,"Lincoln",0,1
"304",2017,"Lowell",0,1
"305",2017,"Malden",0,1
"306",2017,"Mansfield",0,1
"307",2017,"Marblehead",0,1
"308",2017,"Marion",0,1
"309",2017,"Marlborough",0,1
"310",2017,"Marshfield",0,1
"311",2017,"Mashpee",0,1
"312",2017,"Maynard",0,1
"313",2017,"Medfield",0,1
"314",2017,"Medford",0,1
"315",2017,"Medway",0,1
"316",2017,"Melrose",0,1
"317",2017,"Mendon",0,1
"318",2017,"Methuen",0,1
"319",2017,"Middleton",0,1
"320",2017,"Milford",0,1
"321",2017,"Millis",0,1
"322",2017,"Milton",0,1
"323",2017,"Montague",0,1
"324",2017,"Natick",0,1
"325",2017,"Needham",0,1
"326",2017,"Newton",0,1
"327",2017,"Norfolk",0,1
"328",2017,"North Adams",0,1
"329",2017,"North Andover",0,1
"330",2017,"North Reading",0,1
"331",2017,"Northampton",0,1
"332",2017,"Northborough",0,1
"333",2017,"Norwell",0,1
"334",2017,"Norwood",0,1
"335",2017,"Orleans",0,1
"336",2017,"Peabody",0,1
"337",2017,"Pittsfield",0,1
"338",2017,"Plainville",0,1
"339",2017,"Provincetown",0,1
"340",2017,"Randolph",0,1
"341",2017,"Reading",0,1
"342",2017,"Rockport",0,1
"343",2017,"Salem",0,1
"344",2017,"Saugus",0,1
"345",2017,"Scituate",0,1
"346",2017,"Sharon",0,1
"347",2017,"Shelburne",0,1
"348",2017,"Sherborn",0,1
"349",2017,"Somerville",0,1
"350",2017,"South Hadley",0,1
"351",2017,"Southampton",0,1
"352",2017,"Southborough",0,1
"353",2017,"Southwick",0,1
"354",2017,"Stockbridge",0,1
"355",2017,"Stoneham",0,1
"356",2017,"Stoughton",0,1
"357",2017,"Sunderland",0,1
"358",2017,"Swampscott",0,1
"359",2017,"Tewksbury",0,1
"360",2017,"Topsfield",0,1
"361",2017,"Townsend",0,1
"362",2017,"Tyngsborough",0,1
"363",2017,"Wakefield",0,1
"364",2017,"Walpole",0,1
"365",2017,"Waltham",0,1
"366",2017,"Wareham",0,1
"367",2017,"Watertown",0,1
"368",2017,"Wayland",0,1
"369",2017,"Wellesley",0,1
"370",2017,"Westfield",0,1
"371",2017,"Westford",0,1
"372",2017,"Weston",0,1
"373",2017,"Westwood",0,1
"374",2017,"Whately",0,1
"375",2017,"Whitman",0,1
"376",2017,"Williamstown",0,1
"377",2017,"Wilmington",0,1
"378",2017,"Winchester",0,1
"379",2017,"Worcester",0,1
"380",2017,"Yarmouth",0,1
"381",2018,"Acton",0,1
"382",2018,"Adams",0,1
"383",2018,"Amherst",0,1
"384",2018,"Andover",0,1
"385",2018,"Arlington",0,1
"386",2018,"Ashland",0,1
"387",2018,"Attleboro",0,1
"388",2018,"Belchertown",0,1
"389",2018,"Belmont",0,1
"390",2018,"Blackstone",0,1
"391",2018,"Boston",0,1
"392",2018,"Braintree",0,1
"393",2018,"Brewster",0,1
"394",2018,"Bridgewater",0,1
