"","CityTown","Nearby T21 Ratio","year"
"218","Harwich",0,2005
"219","Haverhill",0.007,2005
"220","Hawley",0,2005
"221","Heath",0,2005
"222","Hingham",0.005,2005
"223","Hinsdale",0,2005
"224","Holden",0.005,2005
"225","Holland",0.006,2005
"226","Holliston",0.004,2005
"227","Hopkinton",0.004,2005
"228","Hubbardston",0.005,2005
"229","Huntington",0,2005
"230","Ipswich",0.007,2005
"231","Lakeville",0.006,2005
"232","Lancaster",0.004,2005
"233","Leicester",0.005,2005
"234","Leominster",0.005,2005
"235","Leyden",0,2005
"236","Littleton",0.005,2005
"237","Longmeadow",0,2005
"238","Ludlow",0,2005
"239","Lunenburg",0.005,2005
"240","Lynn",0.005,2005
"241","Lynnfield",0.005,2005
"242","Manchester-by-the-Sea",0.006,2005
"243","Mattapoisett",0.01,2005
"244","Merrimac",0.008,2005
"245","Middleborough",0.006,2005
"246","Middlefield",0,2005
"247","Millbury",0.004,2005
"248","Millville",0.005,2005
"249","Monroe",0,2005
"250","Monson",0,2005
"251","Monterey",0,2005
"252","Montgomery",0,2005
"253","Mount Washington",0,2005
"254","Nahant",0.005,2005
"255","Nantucket",0,2005
"256","New Ashford",0,2005
"257","New Bedford",0.01,2005
"258","New Braintree",0.005,2005
"259","New Marlborough",0,2005
"260","New Salem",0,2005
"261","Newbury",0.007,2005
"262","Newburyport",0.008,2005
"263","North Brookfield",0.005,2005
"264","Northbridge",0.004,2005
"265","Northfield",0,2005
"266","Norton",0.005,2005
"267","Oak Bluffs",0,2005
"268","Oakham",0.005,2005
"269","Orange",0,2005
"270","Otis",0,2005
"271","Oxford",0.005,2005
"272","Palmer",0,2005
"273","Paxton",0.005,2005
"274","Pelham",0,2005
"275","Pembroke",0.005,2005
"276","Pepperell",0.005,2005
"277","Peru",0,2005
"278","Petersham",0,2005
"279","Phillipston",0.006,2005
"280","Plainfield",0,2005
"281","Plymouth",0.006,2005
"282","Plympton",0.006,2005
"283","Princeton",0.005,2005
"284","Quincy",0.005,2005
"285","Raynham",0.005,2005
"286","Rehoboth",0.006,2005
"287","Revere",0.005,2005
"288","Richmond",0,2005
"289","Rochester",0.008,2005
"290","Rockland",0.005,2005
"291","Rowe",0,2005
"292","Rowley",0.007,2005
"293","Royalston",0,2005
"294","Russell",0,2005
"295","Rutland",0.005,2005
"296","Salisbury",0.009,2005
"297","Sandisfield",0,2005
"298","Sandwich",0,2005
"299","Savoy",0,2005
"300","Seekonk",0.006,2005
"301","Sheffield",0,2005
"302","Shirley",0.005,2005
"303","Shrewsbury",0.004,2005
"304","Shutesbury",0,2005
"305","Somerset",0.007,2005
"306","Southbridge",0.006,2005
"307","Spencer",0.005,2005
"308","Springfield",0,2005
"309","Sterling",0.004,2005
"310","Stow",0.004,2005
"311","Sturbridge",0.006,2005
"312","Sudbury",0.004,2005
"313","Sutton",0.005,2005
"314","Swansea",0.007,2005
"315","Taunton",0.006,2005
"316","Templeton",0.005,2005
"317","Tisbury",0,2005
"318","Tolland",0,2005
"319","Truro",0,2005
"320","Tyringham",0,2005
"321","Upton",0.004,2005
"322","Uxbridge",0.005,2005
"323","Wales",0,2005
"324","Ware",0,2005
"325","Warren",0.006,2005
"326","Warwick",0,2005
"327","Washington",0,2005
"328","Webster",0.005,2005
"329","Wellfleet",0,2005
"330","Wendell",0,2005
"331","Wenham",0.006,2005
"332","West Boylston",0.004,2005
"333","West Bridgewater",0.005,2005
"334","West Brookfield",0.005,2005
"335","West Newbury",0.007,2005
"336","West Springfield",0,2005
"337","West Stockbridge",0,2005
"338","West Tisbury",0,2005
"339","Westborough",0.004,2005
"340","Westhampton",0,2005
"341","Westminster",0.005,2005
"342","Westport",0.01,2005
"343","Weymouth",0.005,2005
"344","Wilbraham",0,2005
"345","Williamsburg",0,2005
"346","Winchendon",0.006,2005
"347","Windsor",0,2005
"348","Winthrop",0.005,2005
"349","Woburn",0.005,2005
"350","Worthington",0,2005
"351","Wrentham",0.005,2005
"352","Acton",0.005,2006
"353","Adams",0,2006
"354","Amherst",0,2006
"355","Andover",0.006,2006
"356","Arlington",0.005,2006
"357","Ashland",0.004,2006
"358","Attleboro",0.005,2006
"359","Belchertown",0,2006
"360","Belmont",0.005,2006
"361","Blackstone",0.005,2006
"362","Boston",0.005,2006
"363","Braintree",0.005,2006
"364","Brewster",0,2006
"365","Bridgewater",0.005,2006
"366","Brimfield",0,2006
"367","Brockton",0.005,2006
"368","Brookline",0.005,2006
"369","Buckland",0,2006
"370","Cambridge",0.005,2006
"371","Canton",0.005,2006
"372","Carver",0.007,2006
"373","Charlemont",0,2006
"374","Chelmsford",0.005,2006
"375","Chelsea",0.005,2006
"376","Cohasset",0.005,2006
"377","Concord",0.005,2006
"378","Danvers",0.006,2006
"379","Dedham",0.005,2006
"380","Deerfield",0,2006
"381","Dover",0.004,2006
"382","Duxbury",0.006,2006
