"","Name","Type","County","Form of government","Population.x","Year","X__1","T21Date","FIPS","State","Premature death","Years of Potential Life Lost Rate","Quartile","% Fair/Poor","Quartile__1","Physically Unhealthy Days","Quartile__2","Mentally Unhealthy Days","Quartile__3","Unreliable","# Low Birthweight Births","# Live Births","% LBW","Quartile__4","% Smokers","Quartile__5","% Obese","Quartile__6","Food Environment Index","Quartile__7","% Physically Inactive","Quartile__8","% With Access","Quartile__9","% Excessive Drinking","Quartile__10","# Alcohol-Impaired Driving Deaths","# Driving Deaths","% Alcohol-Impaired","Quartile__11","# Chlamydia Cases","Chlamydia Rate","Quartile__12","Teen Births","Teen Population","Teen Birth Rate","Quartile__13","# Uninsured","% Uninsured","Quartile__14","# Primary Care Physicians","PCP Rate","PCP Ratio","Quartile__15","# Dentists","Dentist Rate","Dentist Ratio","Quartile__16","# Mental Health Providers","MHP Rate","MHP Ratio","Quartile__17","# Medicare Enrollees","Preventable Hosp. Rate","Quartile__18","# Diabetics","% Receiving HbA1c","Quartile__19","# Medicare Enrollees__1","% Mammography","Quartile__20","Cohort Size","Graduation Rate","Quartile__21","# Some College","Population.y","% Some College","Quartile__22","# Unemployed","Labor Force","% Unemployed","Quartile__23","% Children in Poverty","Quartile__24","% Children in Poverty - Black","% Children in Poverty - Hispanic","% Children in Poverty - White","80th Percentile Income","20th Percentile Income","Income Ratio","Quartile__25","# Single-Parent Households","# Households","% Single-Parent Households","Quartile__26","# Associations","Association Rate","Quartile__27","# Violent Crimes","Violent Crime Rate","Quartile__28","# Injury Deaths","Injury Death Rate","Quartile__29","Average Daily PM2.5","Quartile__30","Presence of violation","Quartile__31","# Households with Severe Problems","% Severe Housing Problems","Quartile__32","% Drive Alone","Quartile__33","% Drive Alone - Black","% Drive Alone - Hispanic","% Drive Alone - White","# Workers who Drive Alone","% Long Commute - Drives Alone","Quartile__34"
"180","Merrimac","Town","Essex","Open town meeting","6338.0",1876,NA,NA,"25009","Massachusetts",6885,5232.2,2,13.519249126,3,3.1882789865,1,3.9939707657,2,NA,4368,58093,7.5189781901,3,14.623649328,2,25.5,3,8.6,1,20.5,3,96.724792406,1,19.052302415,2,44,163,26.993865031,2,2622,343.8,4,3438,178213,19.291521943,4,25423,3.9892544489,2,610,79.31441,"1261:1",3,655,84.40254,"1185:1",2,3560,458.73747,"218:1",3,81513,58.26,4,8693,90.797193144,2,7106,74.570785252,2,8689,87.439924042,3,125928,184962,68.083173841,3,20928,405706,5.1584152071,2,16.6,3,31.179879176,35.380577428,7.5080750133,138699,25573,5.4236499433,4,57519,168430,34.150092026,3,692,8.9976348703,4,2904,382.17465803,3,1968,51.623300995,2,9.4,4,"Yes",1,55080,19.2580679,3,75.036538171,2,69.993093923,59.402295846,81.176423125,282890,40.9,3
"181","Methuen","City","Essex","Mayor-council","47255.0",1725,77,2015-09-01 00:00:00,"25009","Massachusetts",6885,5232.2,2,13.519249126,3,3.1882789865,1,3.9939707657,2,NA,4368,58093,7.5189781901,3,14.623649328,2,25.5,3,8.6,1,20.5,3,96.724792406,1,19.052302415,2,44,163,26.993865031,2,2622,343.8,4,3438,178213,19.291521943,4,25423,3.9892544489,2,610,79.31441,"1261:1",3,655,84.40254,"1185:1",2,3560,458.73747,"218:1",3,81513,58.26,4,8693,90.797193144,2,7106,74.570785252,2,8689,87.439924042,3,125928,184962,68.083173841,3,20928,405706,5.1584152071,2,16.6,3,31.179879176,35.380577428,7.5080750133,138699,25573,5.4236499433,4,57519,168430,34.150092026,3,692,8.9976348703,4,2904,382.17465803,3,1968,51.623300995,2,9.4,4,"Yes",1,55080,19.2580679,3,75.036538171,2,69.993093923,59.402295846,81.176423125,282890,40.9,3
"182","Middleborough","Town","Plymouth","Open town meeting","23116.0",1669,NA,NA,"25023","Massachusetts",5179,5736.3,3,12.932690816,3,3.2979653377,2,4.157563458,4,NA,2639,36530,7.2241992883,2,16.179049691,4,27.8,4,8.3,2,22.9,4,85.824549068,3,22.659203492,4,63,194,32.474226804,4,1176,234.3,3,1613,117831,13.689097097,2,14075,3.3779891904,1,321,63.31086,"1580:1",4,358,70.14203,"1426:1",3,2202,431.43225,"232:1",4,59284,56.52,4,6928,91.021939954,2,5798,74.76716109,2,6362,90.239704495,2,78301,114663,68.28793944,3,13992,267574,5.2292076211,2,12.4,2,29.77652353,27.675089028,6.8894271055,140487,31277,4.4917031685,1,31618,114234,27.678274419,1,412,8.1258801393,4,1854.3333333,404.35479135,3,1382,54.913878191,3,8.7,3,"Yes",1,31060,17.292542382,2,81.189873213,3,73.981488806,70.629479589,84.804682979,200690,46.3,4
"183","Middlefield","Town","Hampshire","Open town meeting","521.0",1783,NA,NA,"25015","Massachusetts",1344,4859.2,2,11.818070886,1,3.3806639708,2,4.0656681954,3,NA,480,7844,6.119326874,1,15.258144091,3,18.9,1,8.1,3,15.3,1,85.651568826,4,20.346192088,3,11,39,28.205128205,3,270,169.2,2,276,68899,4.0058636555,1,4452,3.8489137107,2,227,141.04723,"709:1",1,109,67.5793,"1480:1",4,1189,737.17233,"136:1",1,16676,43.98,1,1538,91.287386216,1,1432,75.558659218,2,1534,90.934159061,1,25588,32747,78.138455431,1,3835,86635,4.4266174179,1,11.6,2,27.068965517,31.348425197,9.8487903226,119082,23664,5.0322008114,3,7671,24783,30.952669168,2,149,9.2581661375,3,390.66666667,248.897799,1,348,43.530253526,1,8.5,2,"Yes",1,10220,17.37208907,2,70.936862798,2,51.937309534,55.097996036,71.596561253,58098,35.1,2
"184","Middleton","Town","Essex","Open town meeting","8987.0",1728,78,2016-10-01 00:00:00,"25009","Massachusetts",6885,5232.2,2,13.519249126,3,3.1882789865,1,3.9939707657,2,NA,4368,58093,7.5189781901,3,14.623649328,2,25.5,3,8.6,1,20.5,3,96.724792406,1,19.052302415,2,44,163,26.993865031,2,2622,343.8,4,3438,178213,19.291521943,4,25423,3.9892544489,2,610,79.31441,"1261:1",3,655,84.40254,"1185:1",2,3560,458.73747,"218:1",3,81513,58.26,4,8693,90.797193144,2,7106,74.570785252,2,8689,87.439924042,3,125928,184962,68.083173841,3,20928,405706,5.1584152071,2,16.6,3,31.179879176,35.380577428,7.5080750133,138699,25573,5.4236499433,4,57519,168430,34.150092026,3,692,8.9976348703,4,2904,382.17465803,3,1968,51.623300995,2,9.4,4,"Yes",1,55080,19.2580679,3,75.036538171,2,69.993093923,59.402295846,81.176423125,282890,40.9,3
"185","Milford","Town","Worcester","Representative town meeting","27999.0",1780,80,2016-04-01 00:00:00,"25027","Massachusetts",7872,5700.3,3,13.87208061,4,3.5785862145,3,3.951719279,2,NA,4644,62041,7.4853725762,3,17.156909936,4,27,4,8.3,2,20.8,4,91.200197357,3,20.689806914,3,74,259,28.571428571,3,1709,211.2,2,3496,200234,17.4595723,3,23927,3.5293059096,1,839,103.13777,"970:1",2,560,68.37916,"1462:1",3,3381,412.83916,"242:1",4,57722,51.98,3,6869,89.634590188,3,5123,71.989068905,3,9725,88.433316195,2,137672,202813,67.881250216,4,22512,425290,5.2933292577,3,15.2,3,29.221885649,41.017844862,9.6939559329,127252,25196,5.0504842038,3,54733,178651,30.636828229,1,734,9.0230185316,3,3492.6666667,435.18132417,4,2117,52.285366963,2,9,3,"Yes",1,49530,16.528456777,1,81.71826782,4,75.268528464,67.283658226,83.80299309,323065,41.8,3
"186","Millbury","Town","Worcester","Open town meeting","13261.0",1813,NA,NA,"25027","Massachusetts",7872,5700.3,3,13.87208061,4,3.5785862145,3,3.951719279,2,NA,4644,62041,7.4853725762,3,17.156909936,4,27,4,8.3,2,20.8,4,91.200197357,3,20.689806914,3,74,259,28.571428571,3,1709,211.2,2,3496,200234,17.4595723,3,23927,3.5293059096,1,839,103.13777,"970:1",2,560,68.37916,"1462:1",3,3381,412.83916,"242:1",4,57722,51.98,3,6869,89.634590188,3,5123,71.989068905,3,9725,88.433316195,2,137672,202813,67.881250216,4,22512,425290,5.2933292577,3,15.2,3,29.221885649,41.017844862,9.6939559329,127252,25196,5.0504842038,3,54733,178651,30.636828229,1,734,9.0230185316,3,3492.6666667,435.18132417,4,2117,52.285366963,2,9,3,"Yes",1,49530,16.528456777,1,81.71826782,4,75.268528464,67.283658226,83.80299309,323065,41.8,3
"187","Millis","Town","Norfolk","Open town meeting","7891.0",1885,79,2015-11-01 00:00:00,"25021","Massachusetts",5536,4512.4,1,11.184260205,1,3.0607782385,1,3.3826188357,1,NA,3679,50797,7.2425536941,2,11.767660861,1,20.5,1,8.8,1,17.7,2,95.744652307,1,19.392190869,3,47,164,28.658536585,4,1996,290.2,4,778,152216,5.1111578283,1,15531,2.7209275435,1,885,127.84325,"782:1",1,804,115.51342,"866:1",1,3417,490.93205,"204:1",2,71941,49.58,2,6828,91.15407147,1,5920,76.655405405,1,7630,93.039646134,1,142784,174037,82.042324333,1,16012,368331,4.3471768599,1,6.4,1,15.618527584,15.7636105,4.7446759789,169092,34188,4.9459459459,2,27488,149543,18.381335134,1,682,9.8518751788,2,1303.6666667,193.10128263,1,1596,46.485075844,1,9.5,4,"Yes",1,42010,16.317731598,1,69.999715116,1,73.77707759,63.772073548,81.994952457,245713,49.7,4
"188","Millville","Town","Worcester","Open town meeting","3190.0",1916,NA,NA,"25027","Massachusetts",7872,5700.3,3,13.87208061,4,3.5785862145,3,3.951719279,2,NA,4644,62041,7.4853725762,3,17.156909936,4,27,4,8.3,2,20.8,4,91.200197357,3,20.689806914,3,74,259,28.571428571,3,1709,211.2,2,3496,200234,17.4595723,3,23927,3.5293059096,1,839,103.13777,"970:1",2,560,68.37916,"1462:1",3,3381,412.83916,"242:1",4,57722,51.98,3,6869,89.634590188,3,5123,71.989068905,3,9725,88.433316195,2,137672,202813,67.881250216,4,22512,425290,5.2933292577,3,15.2,3,29.221885649,41.017844862,9.6939559329,127252,25196,5.0504842038,3,54733,178651,30.636828229,1,734,9.0230185316,3,3492.6666667,435.18132417,4,2117,52.285366963,2,9,3,"Yes",1,49530,16.528456777,1,81.71826782,4,75.268528464,67.283658226,83.80299309,323065,41.8,3
"189","Milton","Town","Norfolk","Representative town meeting","27003.0",1662,81,2015-01-01 00:00:00,"25021","Massachusetts",5536,4512.4,1,11.184260205,1,3.0607782385,1,3.3826188357,1,NA,3679,50797,7.2425536941,2,11.767660861,1,20.5,1,8.8,1,17.7,2,95.744652307,1,19.392190869,3,47,164,28.658536585,4,1996,290.2,4,778,152216,5.1111578283,1,15531,2.7209275435,1,885,127.84325,"782:1",1,804,115.51342,"866:1",1,3417,490.93205,"204:1",2,71941,49.58,2,6828,91.15407147,1,5920,76.655405405,1,7630,93.039646134,1,142784,174037,82.042324333,1,16012,368331,4.3471768599,1,6.4,1,15.618527584,15.7636105,4.7446759789,169092,34188,4.9459459459,2,27488,149543,18.381335134,1,682,9.8518751788,2,1303.6666667,193.10128263,1,1596,46.485075844,1,9.5,4,"Yes",1,42010,16.317731598,1,69.999715116,1,73.77707759,63.772073548,81.994952457,245713,49.7,4
