"","Nearby T21 Ratio"
"Acton",0.255
"Adams",0.125
"Amherst",0.094
"Andover",0.298
"Arlington",0.264
"Ashland",0.247
"Attleboro",0.28
"Belchertown",0.107
"Belmont",0.258
"Blackstone",0.263
"Boston",0.267
"Braintree",0.264
"Brewster",0.14
"Bridgewater",0.286
"Brimfield",0.172
"Brockton",0.278
"Brookline",0.261
"Buckland",0.096
"Cambridge",0.268
"Canton",0.255
"Carver",0.327
"Charlemont",0.103
"Chelmsford",0.265
"Chelsea",0.281
"Cohasset",0.294
"Concord",0.256
"Danvers",0.314
"Dedham",0.25
"Deerfield",0.09
"Dover",0.245
"Duxbury",0.308
"Eastham",0.158
"Easton",0.275
"Egremont",0.105
"Essex",0.369
"Falmouth",0.141
"Foxborough",0.26
"Framingham",0.248
"Franklin",0.26
"Gill",0.09
"Gloucester",0.394
"Grafton",0.262
"Great Barrington",0.133
"Greenfield",0.086
"Hadley",0.093
"Hamilton",0.35
"Hanover",0.303
"Halifax",0.306
"Hatfield",0.086
"Holbrook",0.271
"Holyoke",0.083
"Hopedale",0.256
"Hudson",0.242
"Hull",0.278
"Kingston",0.304
"Lanesborough",0.129
"Lawrence",0.301
"Lee",0.128
"Lenox",0.13
"Leverett",0.094
"Lexington",0.259
"Lincoln",0.253
"Lowell",0.277
"Malden",0.275
"Mansfield",0.272
"Marblehead",0.318
"Marion",0.264
"Marlborough",0.248
"Marshfield",0.309
"Mashpee",0.154
"Maynard",0.252
"Medfield",0.252
"Medford",0.272
"Medway",0.251
"Melrose",0.279
"Mendon",0.252
"Methuen",0.3
"Middleton",0.315
"Millis",0.249
"Milford",0.252
"Milton",0.263
"Montague",0.086
"Natick",0.249
"Needham",0.244
"Newton",0.255
"Norfolk",0.259
"North Adams",0.13
"North Andover",0.306
"North Attleboro",0.267
"North Reading",0.301
"Northampton",0.09
"Northborough",0.252
"Norwell",0.299
"Norwood",0.25
"Orleans",0.167
"Peabody",0.311
"Pittsfield",0.129
"Plainville",0.269
"Provincetown",0.176
"Reading",0.282
