"","Nearby T21 Ratio"
"Randolph",0.267
"Rockport",0.379
"Salem",0.307
"Saugus",0.285
"Scituate",0.309
"Sharon",0.255
"Shelburne",0.09
"Sherborn",0.243
"Somerville",0.273
"South Hadley",0.086
"Southampton",0.096
"Southborough",0.242
"Southwick",0.097
"Stockbridge",0.136
"Stoneham",0.278
"Stoughton",0.265
"Sunderland",0.093
"Swampscott",0.301
"Tewksbury",0.287
"Topsfield",0.335
"Townsend",0.289
"Tyngsborough",0.271
"Wakefield",0.286
"Walpole",0.255
"Waltham",0.255
"Wareham",0.269
"Watertown",0.262
"Wayland",0.252
"Wellesley",0.25
"Westfield",0.1
"Westford",0.254
"Weston",0.257
"Westwood",0.247
"Whately",0.089
"Whitman",0.289
"Williamstown",0.131
"Wilmington",0.276
"Winchester",0.27
"Worcester",0.27
"Yarmouth",0.115
"Abington",0.284
"Acushnet",0.283
"Agawam",0.089
"Alford",0.138
"Amesbury",0.385
"Aquinnah",0.102
"Ashburnham",0.288
"Ashby",0.288
"Ashfield",0.102
"Athol",0.143
"Auburn",0.265
"Avon",0.268
"Ayer",0.259
"Barnstable",0.116
"Barre",0.221
"Becket",0.124
"Bedford",0.264
"Bellingham",0.261
"Berkley",0.311
"Berlin",0.259
"Bernardston",0.094
"Beverly",0.326
"Billerica",0.273
"Blandford",0.112
"Bolton",0.254
"Bourne",0.247
"Boxborough",0.249
"Boxford",0.333
"Boylston",0.263
"Brookfield",0.227
"Burlington",0.275
"Carlisle",0.264
"Charlton",0.241
"Chatham",0.176
"Cheshire",0.128
"Chester",0.114
"Chesterfield",0.103
"Chicopee",0.092
"Chilmark",0.102
"Clarksburg",0.13
"Clinton",0.263
"Colrain",0.104
"Conway",0.096
"Cummington",0.108
"Dalton",0.124
"Dartmouth",0.247
"Dennis",0.136
"Dighton",0.304
"Douglas",0.244
"Dracut",0.282
"Dudley",0.238
"Dunstable",0.262
"East Bridgewater",0.293
"East Brookfield",0.236
"East Longmeadow",0.097
"Easthampton",0.092
"Edgartown",0.137
"Erving",0.121
"Everett",0.279
"Fairhaven",0.257
"Fall River",0.285
"Fitchburg",0.286
"Florida",0.117
"Freetown",0.314
"Gardner",0.273
"Georgetown",0.342
"Goshen",0.102
"Gosnold",0.116
"Granby",0.102
"Granville",0.114
"Groton",0.264
"Groveland",0.354
"Hampden",0.117
"Hancock",0.141
"Hanson",0.301
"Hardwick",0.179
"Harvard",0.264
"Harwich",0.167
"Haverhill",0.345
"Hawley",0.114
"Heath",0.112
"Hingham",0.28
"Hinsdale",0.12
"Holden",0.269
"Holland",0.19
"Holliston",0.251
"Hopkinton",0.249
"Hubbardston",0.282
"Huntington",0.107
"Ipswich",0.364
"Lakeville",0.323
"Lancaster",0.261
"Leicester",0.264
"Leominster",0.277
"Leyden",0.103
"Littleton",0.251
"Longmeadow",0.09
"Ludlow",0.106
"Lunenburg",0.28
"Lynn",0.296
"Lynnfield",0.295
"Manchester-by-the-Sea",0.35
"Mattapoisett",0.25
"Merrimac",0.377
"Middleborough",0.323
"Middlefield",0.116
"Millbury",0.263
"Millville",0.251
"Monroe",0.124
"Monson",0.142
"Monterey",0.132
"Montgomery",0.102
"Mount Washington",0.087
"Nahant",0.293
"Nantucket",0.115
"New Ashford",0.133
"New Bedford",0.255
"New Braintree",0.213
"New Marlborough",0.126
"New Salem",0.131
"Newbury",0.37
"Newburyport",0.371
"North Brookfield",0.23
"Northbridge",0.261
"Northfield",0.106
"Norton",0.272
"Oak Bluffs",0.115
"Oakham",0.249
"Orange",0.13
"Otis",0.127
"Oxford",0.258
"Palmer",0.13
"Paxton",0.277
"Pelham",0.113
"Pembroke",0.311
"Pepperell",0.276
"Peru",0.12
"Petersham",0.178
"Phillipston",0.207
"Plainfield",0.111
"Plymouth",0.316
"Plympton",0.314
"Princeton",0.276
"Quincy",0.272
"Raynham",0.286
"Rehoboth",0.284
"Revere",0.283
"Richmond",0.14
"Rochester",0.298
"Rockland",0.286
"Rowe",0.111
"Rowley",0.368
"Royalston",0.147
"Russell",0.106
"Rutland",0.278
"Salisbury",0.384
"Sandisfield",0.135
"Sandwich",0.202
"Savoy",0.113
"Seekonk",0.282
"Sheffield",0.114
"Shirley",0.266
"Shrewsbury",0.261
"Shutesbury",0.108
"Somerset",0.311
"Southbridge",0.229
"Spencer",0.257
"Springfield",0.086
"Sterling",0.266
"Stow",0.246
"Sturbridge",0.223
"Sudbury",0.254
"Sutton",0.257
"Swansea",0.308
"Taunton",0.292
"Templeton",0.242
"Tisbury",0.109
"Tolland",0.125
"Truro",0.191
"Tyringham",0.126
"Upton",0.262
"Uxbridge",0.26
"Wales",0.157
"Ware",0.17
"Warren",0.192
"Warwick",0.127
"Washington",0.127
"Webster",0.24
"Wellfleet",0.178
"Wendell",0.118
"Wenham",0.333
"West Boylston",0.271
"West Bridgewater",0.288
"West Brookfield",0.215
"West Newbury",0.363
"West Springfield",0.086
"West Stockbridge",0.14
"West Tisbury",0.132
"Westborough",0.258
"Westhampton",0.098
"Westminster",0.293
"Westport",0.219
"Weymouth",0.275
"Wilbraham",0.11
"Williamsburg",0.096
"Winchendon",0.243
"Windsor",0.113
"Winthrop",0.28
"Woburn",0.275
"Worthington",0.109
"Wrentham",0.264
