"","Name","Type","County","Form of government","Population","FormYear","T21Date","Year","FIPS","State","Smoking rank","Diet and Exercise Rank","Alcohol useRank","Unsafe Sex Rank","Access to Care Rank","Quality of care Rank","Education Rank","Employment Rank","Income Rank","Family and social support Rank","Community Rank","Air Quality Rank","Built Enviornment Rank","Mortality Rank","Morbidity Rank","Health Behaviors Rank","Clinical Care Rank","Social Economic factors Rank","Physical Enviornment Rank","T21year","MAYOR","LENGTH OF TERM","NEXT ELECTION","mayor_ind"
"28","Adams","Town","Berkshire","Representative town meeting","8485.0",1778,2016-10-31,2013,"25003","Massachusetts",9,11,13,11,6,3,10,7,12,11,7,6,6,11,11,11,4,11,6,2016,NA,NA,NA,0
"29","Adams","Town","Berkshire","Representative town meeting","8485.0",1778,2016-10-31,2014,"25003","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,8,2,11,12,2016,NA,NA,NA,0
"30","Adams","Town","Berkshire","Representative town meeting","8485.0",1778,2016-10-31,2015,"25003","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,8,3,10,13,2016,NA,NA,NA,0
"31","Adams","Town","Berkshire","Representative town meeting","8485.0",1778,2016-10-31,2016,"25003","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,10,7,3,11,14,2016,NA,NA,NA,0
"32","Adams","Town","Berkshire","Representative town meeting","8485.0",1778,2016-10-31,2017,"25003","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,10,8,5,11,4,2016,NA,NA,NA,0
"33","Agawam","City","Hampden","Mayor-council","28438.0",1855,NA,2011,"25013","Massachusetts",12,13,8,14,8,7,14,13,14,13,13,14,10,14,13,14,9,14,14,NA,"Richard Cohen","2 years","Nov. 7, 2017",1
"34","Agawam","City","Hampden","Mayor-council","28438.0",1855,NA,2010,"25013","Massachusetts",12,13,8,14,11,8,14,13,13,13,13,12,7,14,14,13,9,14,11,NA,"Richard Cohen","2 years","Nov. 7, 2017",1
"35","Agawam","City","Hampden","Mayor-council","28438.0",1855,NA,2012,"25013","Massachusetts",10,13,7,14,12,9,14,13,13,13,13,14,12,14,14,13,12,14,14,NA,"Richard Cohen","2 years","Nov. 7, 2017",1
"36","Agawam","City","Hampden","Mayor-council","28438.0",1855,NA,2013,"25013","Massachusetts",10,13,7,14,11,11,14,13,13,13,13,5,14,14,13,13,12,13,11,NA,"Richard Cohen","2 years","Nov. 7, 2017",1
"37","Agawam","City","Hampden","Mayor-council","28438.0",1855,NA,2014,"25013","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,13,14,9,14,11,NA,"Richard Cohen","2 years","Nov. 7, 2017",1
"38","Agawam","City","Hampden","Mayor-council","28438.0",1855,NA,2015,"25013","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,13,14,11,14,10,NA,"Richard Cohen","2 years","Nov. 7, 2017",1
"39","Agawam","City","Hampden","Mayor-council","28438.0",1855,NA,2016,"25013","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,14,12,14,13,NA,"Richard Cohen","2 years","Nov. 7, 2017",1
