"","Name","Type","County","Form of government","Population","FormYear","T21Date","Year","FIPS","State","Smoking rank","Diet and Exercise Rank","Alcohol useRank","Unsafe Sex Rank","Access to Care Rank","Quality of care Rank","Education Rank","Employment Rank","Income Rank","Family and social support Rank","Community Rank","Air Quality Rank","Built Enviornment Rank","Mortality Rank","Morbidity Rank","Health Behaviors Rank","Clinical Care Rank","Social Economic factors Rank","Physical Enviornment Rank","T21year","MAYOR","LENGTH OF TERM","NEXT ELECTION","mayor_ind"
"483","Chesterfield","Town","Hampshire","Open town meeting","1222.0",1762,NA,2012,"25015","Massachusetts",3,4,5,2,2,4,3,1,5,5,3,7,8,5,4,2,1,3,10,NA,NA,NA,NA,0
"484","Chesterfield","Town","Hampshire","Open town meeting","1222.0",1762,NA,2013,"25015","Massachusetts",2,4,3,3,3,2,4,1,5,5,3,1,8,4,3,2,1,3,4,NA,NA,NA,NA,0
"485","Chesterfield","Town","Hampshire","Open town meeting","1222.0",1762,NA,2014,"25015","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,3,1,3,9,NA,NA,NA,NA,0
"486","Chesterfield","Town","Hampshire","Open town meeting","1222.0",1762,NA,2015,"25015","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,3,2,4,14,NA,NA,NA,NA,0
"487","Chesterfield","Town","Hampshire","Open town meeting","1222.0",1762,NA,2016,"25015","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,2,3,10,NA,NA,NA,NA,0
"488","Chesterfield","Town","Hampshire","Open town meeting","1222.0",1762,NA,2017,"25015","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,2,3,6,NA,NA,NA,NA,0
"489","Chicopee","City","Hampden","Mayor-aldermen","55298.0",1848,NA,2011,"25013","Massachusetts",12,13,8,14,8,7,14,13,14,13,13,14,10,14,13,14,9,14,14,NA,"Richard Kos","2 years","Nov. 7, 2017",1
"490","Chicopee","City","Hampden","Mayor-aldermen","55298.0",1848,NA,2010,"25013","Massachusetts",12,13,8,14,11,8,14,13,13,13,13,12,7,14,14,13,9,14,11,NA,"Richard Kos","2 years","Nov. 7, 2017",1
"491","Chicopee","City","Hampden","Mayor-aldermen","55298.0",1848,NA,2012,"25013","Massachusetts",10,13,7,14,12,9,14,13,13,13,13,14,12,14,14,13,12,14,14,NA,"Richard Kos","2 years","Nov. 7, 2017",1
"492","Chicopee","City","Hampden","Mayor-aldermen","55298.0",1848,NA,2013,"25013","Massachusetts",10,13,7,14,11,11,14,13,13,13,13,5,14,14,13,13,12,13,11,NA,"Richard Kos","2 years","Nov. 7, 2017",1
"493","Chicopee","City","Hampden","Mayor-aldermen","55298.0",1848,NA,2014,"25013","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,13,14,9,14,11,NA,"Richard Kos","2 years","Nov. 7, 2017",1
"494","Chicopee","City","Hampden","Mayor-aldermen","55298.0",1848,NA,2015,"25013","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,13,14,11,14,10,NA,"Richard Kos","2 years","Nov. 7, 2017",1
"495","Chicopee","City","Hampden","Mayor-aldermen","55298.0",1848,NA,2016,"25013","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,14,12,14,13,NA,"Richard Kos","2 years","Nov. 7, 2017",1
"496","Chicopee","City","Hampden","Mayor-aldermen","55298.0",1848,NA,2017,"25013","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,14,11,14,13,NA,"Richard Kos","2 years","Nov. 7, 2017",1
"497","Chilmark","Town","Dukes","Open town meeting","866.0",1714,NA,2011,"25007","Massachusetts",5,1,14,3,13,2,10,1,7,10,1,4,1,5,2,4,5,5,1,NA,NA,NA,NA,0
"498","Chilmark","Town","Dukes","Open town meeting","866.0",1714,NA,2010,"25007","Massachusetts",1,1,14,4,13,7,12,2,6,9,10,6,10,5,1,2,13,6,9,NA,NA,NA,NA,0
"499","Chilmark","Town","Dukes","Open town meeting","866.0",1714,NA,2012,"25007","Massachusetts",5,2,14,3,11,11,6,4,6,9,1,4,1,3,1,5,11,4,1,NA,NA,NA,NA,0
"500","Chilmark","Town","Dukes","Open town meeting","866.0",1714,NA,2013,"25007","Massachusetts",5,2,14,2,13,5,3,7,6,9,2,10,1,1,2,5,13,5,1,NA,NA,NA,NA,0
"501","Chilmark","Town","Dukes","Open town meeting","866.0",1714,NA,2014,"25007","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,13,5,2,NA,NA,NA,NA,0
"502","Chilmark","Town","Dukes","Open town meeting","866.0",1714,NA,2015,"25007","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,6,10,5,3,NA,NA,NA,NA,0
"503","Chilmark","Town","Dukes","Open town meeting","866.0",1714,NA,2016,"25007","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,13,5,2,NA,NA,NA,NA,0
"504","Chilmark","Town","Dukes","Open town meeting","866.0",1714,NA,2017,"25007","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,5,13,7,2,NA,NA,NA,NA,0
"505","Clarksburg","Town","Berkshire","Open town meeting","1702.0",1798,NA,2011,"25003","Massachusetts",9,9,13,10,4,1,9,7,10,11,7,6,13,9,11,11,1,11,13,NA,NA,NA,NA,0
"506","Clarksburg","Town","Berkshire","Open town meeting","1702.0",1798,NA,2010,"25003","Massachusetts",10,10,10,10,5,2,8,7,11,11,8,8,13,10,11,11,1,11,12,NA,NA,NA,NA,0
"507","Clarksburg","Town","Berkshire","Open town meeting","1702.0",1798,NA,2012,"25003","Massachusetts",11,11,13,10,5,2,10,8,12,11,7,6,11,11,11,11,2,11,7,NA,NA,NA,NA,0
"508","Clarksburg","Town","Berkshire","Open town meeting","1702.0",1798,NA,2013,"25003","Massachusetts",9,11,13,11,6,3,10,7,12,11,7,6,6,11,11,11,4,11,6,NA,NA,NA,NA,0
"509","Clarksburg","Town","Berkshire","Open town meeting","1702.0",1798,NA,2014,"25003","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,8,2,11,12,NA,NA,NA,NA,0
"510","Clarksburg","Town","Berkshire","Open town meeting","1702.0",1798,NA,2015,"25003","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,8,3,10,13,NA,NA,NA,NA,0
"511","Clarksburg","Town","Berkshire","Open town meeting","1702.0",1798,NA,2016,"25003","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,10,7,3,11,14,NA,NA,NA,NA,0
"512","Clarksburg","Town","Berkshire","Open town meeting","1702.0",1798,NA,2017,"25003","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,10,8,5,11,4,NA,NA,NA,NA,0
"513","Clinton","Town","Worcester","Open town meeting","13606.0",1850,NA,2011,"25027","Massachusetts",11,12,9,9,5,13,6,12,6,7,9,8,12,10,10,12,10,8,12,NA,NA,NA,NA,0
"514","Clinton","Town","Worcester","Open town meeting","13606.0",1850,NA,2010,"25027","Massachusetts",13,12,11,9,4,14,7,11,9,8,6,5,9,9,9,12,10,9,5,NA,NA,NA,NA,0
"515","Clinton","Town","Worcester","Open town meeting","13606.0",1850,NA,2012,"25027","Massachusetts",12,12,9,9,4,14,8,12,7,7,9,8,13,9,8,12,10,10,13,NA,NA,NA,NA,0
"516","Clinton","Town","Worcester","Open town meeting","13606.0",1850,NA,2013,"25027","Massachusetts",12,12,10,8,5,14,8,11,8,7,9,7,13,8,9,12,9,10,10,NA,NA,NA,NA,0
"517","Clinton","Town","Worcester","Open town meeting","13606.0",1850,NA,2014,"25027","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9,12,11,8,10,NA,NA,NA,NA,0
"518","Clinton","Town","Worcester","Open town meeting","13606.0",1850,NA,2015,"25027","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,12,12,11,11,NA,NA,NA,NA,0
"519","Clinton","Town","Worcester","Open town meeting","13606.0",1850,NA,2016,"25027","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,11,9,9,12,NA,NA,NA,NA,0
"520","Clinton","Town","Worcester","Open town meeting","13606.0",1850,NA,2017,"25027","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,11,6,8,12,NA,NA,NA,NA,0
"521","Cohasset","Town","Norfolk","Open town meeting","7542.0",1775,2016-06-01,2011,"25021","Massachusetts",2,3,3,1,2,11,1,5,1,3,2,10,4,3,4,1,7,1,5,2016,NA,NA,NA,0
"522","Cohasset","Town","Norfolk","Open town meeting","7542.0",1775,2016-06-01,2010,"25021","Massachusetts",3,1,4,1,1,10,1,5,3,2,1,13,2,4,4,1,4,3,6,2016,NA,NA,NA,0
"523","Cohasset","Town","Norfolk","Open town meeting","7542.0",1775,2016-06-01,2012,"25021","Massachusetts",2,3,4,1,1,8,1,3,1,1,2,10,3,2,5,1,4,1,5,2016,NA,NA,NA,0
"524","Cohasset","Town","Norfolk","Open town meeting","7542.0",1775,2016-06-01,2013,"25021","Massachusetts",2,3,4,1,1,9,1,3,1,1,1,11,4,3,5,1,3,1,9,2016,NA,NA,NA,0
"525","Cohasset","Town","Norfolk","Open town meeting","7542.0",1775,2016-06-01,2014,"25021","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,3,1,5,2016,NA,NA,NA,0
"526","Cohasset","Town","Norfolk","Open town meeting","7542.0",1775,2016-06-01,2015,"25021","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,1,1,2,2016,NA,NA,NA,0
"527","Cohasset","Town","Norfolk","Open town meeting","7542.0",1775,2016-06-01,2016,"25021","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,1,1,5,2016,NA,NA,NA,0
"528","Cohasset","Town","Norfolk","Open town meeting","7542.0",1775,2016-06-01,2017,"25021","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,1,1,9,2016,NA,NA,NA,0
"529","Colrain","Town","Franklin","Open town meeting","1671.0",1761,NA,2011,"25011","Massachusetts",8,11,7,6,10,6,11,6,12,9,5,3,14,6,7,8,8,10,6,NA,NA,NA,NA,0
"530","Colrain","Town","Franklin","Open town meeting","1671.0",1761,NA,2010,"25011","Massachusetts",9,9,6,6,7,6,11,6,7,10,4,2,11,7,7,7,5,8,4,NA,NA,NA,NA,0
"531","Colrain","Town","Franklin","Open town meeting","1671.0",1761,NA,2012,"25011","Massachusetts",9,10,8,6,7,5,11,6,10,10,6,3,14,6,10,9,6,9,6,NA,NA,NA,NA,0
"532","Colrain","Town","Franklin","Open town meeting","1671.0",1761,NA,2013,"25011","Massachusetts",11,10,6,6,7,4,11,4,10,10,6,3,12,6,7,9,6,7,8,NA,NA,NA,NA,0
"533","Colrain","Town","Franklin","Open town meeting","1671.0",1761,NA,2014,"25011","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,10,6,7,13,NA,NA,NA,NA,0
"534","Colrain","Town","Franklin","Open town meeting","1671.0",1761,NA,2015,"25011","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,10,7,7,12,NA,NA,NA,NA,0
"535","Colrain","Town","Franklin","Open town meeting","1671.0",1761,NA,2016,"25011","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,8,7,7,11,NA,NA,NA,NA,0
"536","Colrain","Town","Franklin","Open town meeting","1671.0",1761,NA,2017,"25011","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,7,7,7,5,5,NA,NA,NA,NA,0
"537","Concord","Town","Middlesex","Open town meeting","17668.0",1635,2014-11-01,2011,"25017","Massachusetts",1,7,2,4,6,8,2,4,3,4,3,5,5,2,5,2,6,3,4,2014,NA,NA,NA,0
"538","Concord","Town","Middlesex","Open town meeting","17668.0",1635,2014-11-01,2010,"25017","Massachusetts",2,6,2,3,6,9,2,3,4,3,2,7,3,3,5,3,6,2,3,2014,NA,NA,NA,0
"539","Concord","Town","Middlesex","Open town meeting","17668.0",1635,2014-11-01,2012,"25017","Massachusetts",1,8,2,4,3,6,2,2,2,3,4,5,4,1,6,3,5,2,4,2014,NA,NA,NA,0
"540","Concord","Town","Middlesex","Open town meeting","17668.0",1635,2014-11-01,2013,"25017","Massachusetts",1,8,1,4,2,7,2,1,2,2,4,4,5,2,4,3,5,2,2,2014,NA,NA,NA,0
"541","Concord","Town","Middlesex","Open town meeting","17668.0",1635,2014-11-01,2014,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,5,2,6,2014,NA,NA,NA,0
"542","Concord","Town","Middlesex","Open town meeting","17668.0",1635,2014-11-01,2015,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,5,2,4,2014,NA,NA,NA,0
"543","Concord","Town","Middlesex","Open town meeting","17668.0",1635,2014-11-01,2016,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,3,5,2,6,2014,NA,NA,NA,0
"544","Concord","Town","Middlesex","Open town meeting","17668.0",1635,2014-11-01,2017,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,2,10,2014,NA,NA,NA,0
"545","Conway","Town","Franklin","Open town meeting","1897.0",1775,NA,2011,"25011","Massachusetts",8,11,7,6,10,6,11,6,12,9,5,3,14,6,7,8,8,10,6,NA,NA,NA,NA,0
"546","Conway","Town","Franklin","Open town meeting","1897.0",1775,NA,2010,"25011","Massachusetts",9,9,6,6,7,6,11,6,7,10,4,2,11,7,7,7,5,8,4,NA,NA,NA,NA,0
"547","Conway","Town","Franklin","Open town meeting","1897.0",1775,NA,2012,"25011","Massachusetts",9,10,8,6,7,5,11,6,10,10,6,3,14,6,10,9,6,9,6,NA,NA,NA,NA,0
"548","Conway","Town","Franklin","Open town meeting","1897.0",1775,NA,2013,"25011","Massachusetts",11,10,6,6,7,4,11,4,10,10,6,3,12,6,7,9,6,7,8,NA,NA,NA,NA,0
"549","Conway","Town","Franklin","Open town meeting","1897.0",1775,NA,2014,"25011","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,10,6,7,13,NA,NA,NA,NA,0
"550","Conway","Town","Franklin","Open town meeting","1897.0",1775,NA,2015,"25011","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,10,7,7,12,NA,NA,NA,NA,0
"551","Conway","Town","Franklin","Open town meeting","1897.0",1775,NA,2016,"25011","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,8,7,7,11,NA,NA,NA,NA,0
"552","Conway","Town","Franklin","Open town meeting","1897.0",1775,NA,2017,"25011","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,7,7,7,5,5,NA,NA,NA,NA,0
"553","Cummington","Town","Hampshire","Open town meeting","872.0",1779,NA,2011,"25015","Massachusetts",3,5,6,2,3,5,4,1,5,5,4,7,11,4,6,3,2,4,10,NA,NA,NA,NA,0
"554","Cummington","Town","Hampshire","Open town meeting","872.0",1779,NA,2010,"25015","Massachusetts",4,7,3,2,3,5,3,3,8,5,3,9,8,2,6,5,3,4,8,NA,NA,NA,NA,0
"555","Cummington","Town","Hampshire","Open town meeting","872.0",1779,NA,2012,"25015","Massachusetts",3,4,5,2,2,4,3,1,5,5,3,7,8,5,4,2,1,3,10,NA,NA,NA,NA,0
"556","Cummington","Town","Hampshire","Open town meeting","872.0",1779,NA,2013,"25015","Massachusetts",2,4,3,3,3,2,4,1,5,5,3,1,8,4,3,2,1,3,4,NA,NA,NA,NA,0
"557","Cummington","Town","Hampshire","Open town meeting","872.0",1779,NA,2014,"25015","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,3,1,3,9,NA,NA,NA,NA,0
"558","Cummington","Town","Hampshire","Open town meeting","872.0",1779,NA,2015,"25015","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,3,2,4,14,NA,NA,NA,NA,0
"559","Cummington","Town","Hampshire","Open town meeting","872.0",1779,NA,2016,"25015","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,2,3,10,NA,NA,NA,NA,0
"560","Cummington","Town","Hampshire","Open town meeting","872.0",1779,NA,2017,"25015","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,2,3,6,NA,NA,NA,NA,0
"561","Dalton","Town","Berkshire","Open town meeting","6756.0",1784,NA,2011,"25003","Massachusetts",9,9,13,10,4,1,9,7,10,11,7,6,13,9,11,11,1,11,13,NA,NA,NA,NA,0
"562","Dalton","Town","Berkshire","Open town meeting","6756.0",1784,NA,2010,"25003","Massachusetts",10,10,10,10,5,2,8,7,11,11,8,8,13,10,11,11,1,11,12,NA,NA,NA,NA,0
"563","Dalton","Town","Berkshire","Open town meeting","6756.0",1784,NA,2012,"25003","Massachusetts",11,11,13,10,5,2,10,8,12,11,7,6,11,11,11,11,2,11,7,NA,NA,NA,NA,0
"564","Dalton","Town","Berkshire","Open town meeting","6756.0",1784,NA,2013,"25003","Massachusetts",9,11,13,11,6,3,10,7,12,11,7,6,6,11,11,11,4,11,6,NA,NA,NA,NA,0
"565","Dalton","Town","Berkshire","Open town meeting","6756.0",1784,NA,2014,"25003","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,8,2,11,12,NA,NA,NA,NA,0
"566","Dalton","Town","Berkshire","Open town meeting","6756.0",1784,NA,2015,"25003","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,8,3,10,13,NA,NA,NA,NA,0
"567","Dalton","Town","Berkshire","Open town meeting","6756.0",1784,NA,2016,"25003","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,10,7,3,11,14,NA,NA,NA,NA,0
"568","Dalton","Town","Berkshire","Open town meeting","6756.0",1784,NA,2017,"25003","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,10,8,5,11,4,NA,NA,NA,NA,0
"569","Danvers","Town","Essex","Representative town meeting","26493.0",1775,2015-07-01,2011,"25009","Massachusetts",6,10,4,11,7,9,7,11,9,8,6,8,7,7,9,7,11,9,7,2015,NA,NA,NA,0
"570","Danvers","Town","Essex","Representative town meeting","26493.0",1775,2015-07-01,2010,"25009","Massachusetts",6,11,5,11,12,3,6,9,12,7,5,11,4,6,8,8,7,10,7,2015,NA,NA,NA,0
"571","Danvers","Town","Essex","Representative town meeting","26493.0",1775,2015-07-01,2012,"25009","Massachusetts",6,9,6,12,9,7,9,9,8,8,5,8,10,7,9,7,7,8,11,2015,NA,NA,NA,0
"572","Danvers","Town","Essex","Representative town meeting","26493.0",1775,2015-07-01,2013,"25009","Massachusetts",6,9,5,12,10,8,9,9,11,8,5,2,11,5,8,7,8,9,7,2015,NA,NA,NA,0
"573","Danvers","Town","Essex","Representative town meeting","26493.0",1775,2015-07-01,2014,"25009","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,6,8,9,7,2015,NA,NA,NA,0
"574","Danvers","Town","Essex","Representative town meeting","26493.0",1775,2015-07-01,2015,"25009","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,7,9,9,6,2015,NA,NA,NA,0
"575","Danvers","Town","Essex","Representative town meeting","26493.0",1775,2015-07-01,2016,"25009","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,11,9,10,8,9,2015,NA,NA,NA,0
"576","Danvers","Town","Essex","Representative town meeting","26493.0",1775,2015-07-01,2017,"25009","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9,9,10,9,14,2015,NA,NA,NA,0
"577","Dartmouth","Town","Bristol","Representative town meeting","34032.0",1664,NA,2011,"25005","Massachusetts",14,14,10,12,12,10,13,14,11,12,12,12,6,12,12,13,12,12,8,NA,NA,NA,NA,0
"578","Dartmouth","Town","Bristol","Representative town meeting","34032.0",1664,NA,2010,"25005","Massachusetts",14,14,12,12,10,11,13,14,10,12,12,4,1,12,12,14,12,12,1,NA,NA,NA,NA,0
"579","Dartmouth","Town","Bristol","Representative town meeting","34032.0",1664,NA,2012,"25005","Massachusetts",14,14,11,11,13,10,12,14,11,12,12,12,7,13,12,14,14,12,12,NA,NA,NA,NA,0
"580","Dartmouth","Town","Bristol","Representative town meeting","34032.0",1664,NA,2013,"25005","Massachusetts",14,14,11,10,12,10,12,14,9,12,12,9,10,12,12,14,11,12,12,NA,NA,NA,NA,0
"581","Dartmouth","Town","Bristol","Representative town meeting","34032.0",1664,NA,2014,"25005","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,13,12,12,4,NA,NA,NA,NA,0
"582","Dartmouth","Town","Bristol","Representative town meeting","34032.0",1664,NA,2015,"25005","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,12,13,13,12,5,NA,NA,NA,NA,0
"583","Dartmouth","Town","Bristol","Representative town meeting","34032.0",1664,NA,2016,"25005","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,11,12,7,NA,NA,NA,NA,0
"584","Dartmouth","Town","Bristol","Representative town meeting","34032.0",1664,NA,2017,"25005","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,13,13,12,12,8,NA,NA,NA,NA,0
"585","Dedham","Town","Norfolk","Representative town meeting","24729.0",1636,2014-01-01,2011,"25021","Massachusetts",2,3,3,1,2,11,1,5,1,3,2,10,4,3,4,1,7,1,5,2014,NA,NA,NA,0
"586","Dedham","Town","Norfolk","Representative town meeting","24729.0",1636,2014-01-01,2010,"25021","Massachusetts",3,1,4,1,1,10,1,5,3,2,1,13,2,4,4,1,4,3,6,2014,NA,NA,NA,0
"587","Dedham","Town","Norfolk","Representative town meeting","24729.0",1636,2014-01-01,2012,"25021","Massachusetts",2,3,4,1,1,8,1,3,1,1,2,10,3,2,5,1,4,1,5,2014,NA,NA,NA,0
"588","Dedham","Town","Norfolk","Representative town meeting","24729.0",1636,2014-01-01,2013,"25021","Massachusetts",2,3,4,1,1,9,1,3,1,1,1,11,4,3,5,1,3,1,9,2014,NA,NA,NA,0
"589","Dedham","Town","Norfolk","Representative town meeting","24729.0",1636,2014-01-01,2014,"25021","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,3,1,5,2014,NA,NA,NA,0
"590","Dedham","Town","Norfolk","Representative town meeting","24729.0",1636,2014-01-01,2015,"25021","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,1,1,2,2014,NA,NA,NA,0
"591","Dedham","Town","Norfolk","Representative town meeting","24729.0",1636,2014-01-01,2016,"25021","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,1,1,5,2014,NA,NA,NA,0
"592","Dedham","Town","Norfolk","Representative town meeting","24729.0",1636,2014-01-01,2017,"25021","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,1,1,9,2014,NA,NA,NA,0
"593","Deerfield","Town","Franklin","Open town meeting","5125.0",1677,2017-01-01,2011,"25011","Massachusetts",8,11,7,6,10,6,11,6,12,9,5,3,14,6,7,8,8,10,6,2017,NA,NA,NA,0
"594","Deerfield","Town","Franklin","Open town meeting","5125.0",1677,2017-01-01,2010,"25011","Massachusetts",9,9,6,6,7,6,11,6,7,10,4,2,11,7,7,7,5,8,4,2017,NA,NA,NA,0
"595","Deerfield","Town","Franklin","Open town meeting","5125.0",1677,2017-01-01,2012,"25011","Massachusetts",9,10,8,6,7,5,11,6,10,10,6,3,14,6,10,9,6,9,6,2017,NA,NA,NA,0
"596","Deerfield","Town","Franklin","Open town meeting","5125.0",1677,2017-01-01,2013,"25011","Massachusetts",11,10,6,6,7,4,11,4,10,10,6,3,12,6,7,9,6,7,8,2017,NA,NA,NA,0
"597","Deerfield","Town","Franklin","Open town meeting","5125.0",1677,2017-01-01,2014,"25011","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,10,6,7,13,2017,NA,NA,NA,0
"598","Deerfield","Town","Franklin","Open town meeting","5125.0",1677,2017-01-01,2015,"25011","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,10,7,7,12,2017,NA,NA,NA,0
"599","Deerfield","Town","Franklin","Open town meeting","5125.0",1677,2017-01-01,2016,"25011","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,8,7,7,11,2017,NA,NA,NA,0
"600","Deerfield","Town","Franklin","Open town meeting","5125.0",1677,2017-01-01,2017,"25011","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,7,7,7,5,5,2017,NA,NA,NA,0
"601","Dennis","Town","Barnstable","Open town meeting","14207.0",1793,NA,2011,"25001","Massachusetts",4,2,11,5,9,4,5,9,7,2,11,11,9,11,3,5,3,6,9,NA,NA,NA,NA,0
"602","Dennis","Town","Barnstable","Open town meeting","14207.0",1793,NA,2010,"25001","Massachusetts",5,3,7,5,8,1,5,11,5,1,9,10,12,8,3,4,2,5,14,NA,NA,NA,NA,0
"603","Dennis","Town","Barnstable","Open town meeting","14207.0",1793,NA,2012,"25001","Massachusetts",4,1,10,5,8,1,5,11,9,2,11,11,5,10,3,4,3,7,8,NA,NA,NA,NA,0
"604","Dennis","Town","Barnstable","Open town meeting","14207.0",1793,NA,2013,"25001","Massachusetts",4,1,9,5,9,1,6,12,7,3,10,12,7,10,6,4,2,8,13,NA,NA,NA,NA,0
"605","Dennis","Town","Barnstable","Open town meeting","14207.0",1793,NA,2014,"25001","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,4,4,10,3,NA,NA,NA,NA,0
"606","Dennis","Town","Barnstable","Open town meeting","14207.0",1793,NA,2015,"25001","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3,4,4,8,7,NA,NA,NA,NA,0
"607","Dennis","Town","Barnstable","Open town meeting","14207.0",1793,NA,2016,"25001","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,2,4,10,4,NA,NA,NA,NA,0
